ensg	biotype	symbol	chrom
ENSG00000225630	unprocessed_pseudogene	MTND2P28	chr1
ENSG00000237973	unprocessed_pseudogene	MTCO1P12	chr1
ENSG00000278791	miRNA	ENSG00000278791	chr1
ENSG00000229344	unprocessed_pseudogene	MTCO2P12	chr1
ENSG00000240409	unprocessed_pseudogene	MTATP8P1	chr1
ENSG00000248527	unprocessed_pseudogene	MTATP6P1	chr1
ENSG00000198744	unprocessed_pseudogene	MTCO3P12	chr1
ENSG00000268663	processed_pseudogene	WBP1LP6	chr1
ENSG00000284662	protein_coding	OR4F16	chr1
ENSG00000230021	transcribed_processed_pseudogene	ENSG00000230021	chr1
ENSG00000229376	processed_pseudogene	CICP3	chr1
ENSG00000223181	snRNA	RNU6-1199P	chr1
ENSG00000229905	lncRNA	ENSG00000229905	chr1
ENSG00000228327	transcribed_unprocessed_pseudogene	ENSG00000228327	chr1
ENSG00000237491	lncRNA	LINC01409	chr1
ENSG00000285268	transcribed_processed_pseudogene	ENSG00000285268	chr1
ENSG00000230092	transcribed_unprocessed_pseudogene	ENSG00000230092	chr1
ENSG00000177757	lncRNA	FAM87B	chr1
ENSG00000228794	lncRNA	LINC01128	chr1
ENSG00000297178	lncRNA	ENSG00000297178	chr1
ENSG00000297224	lncRNA	ENSG00000297224	chr1
ENSG00000230368	lncRNA	FAM41C	chr1
ENSG00000234711	unprocessed_pseudogene	TUBB8P11	chr1
ENSG00000283040	transcribed_unprocessed_pseudogene	ENSG00000283040	chr1
ENSG00000296088	lncRNA	ENSG00000296088	chr1
ENSG00000272438	lncRNA	ENSG00000272438	chr1
ENSG00000298603	lncRNA	ENSG00000298603	chr1
ENSG00000223764	lncRNA	LINC02593	chr1
ENSG00000187634	protein_coding	SAMD11	chr1
ENSG00000188976	protein_coding	NOC2L	chr1
ENSG00000187961	protein_coding	KLHL17	chr1
ENSG00000187583	protein_coding	PLEKHN1	chr1
ENSG00000187642	protein_coding	PERM1	chr1
ENSG00000303599	lncRNA	ENSG00000303599	chr1
ENSG00000272512	lncRNA	ENSG00000272512	chr1
ENSG00000188290	protein_coding	HES4	chr1
ENSG00000303623	lncRNA	ENSG00000303623	chr1
ENSG00000187608	protein_coding	ISG15	chr1
ENSG00000303614	lncRNA	ENSG00000303614	chr1
ENSG00000231702	processed_pseudogene	ENSG00000231702	chr1
ENSG00000224969	lncRNA	ENSG00000224969	chr1
ENSG00000188157	protein_coding	AGRN	chr1
ENSG00000242590	lncRNA	ENSG00000242590	chr1
ENSG00000291156	lncRNA	ENSG00000291156	chr1
ENSG00000273443	lncRNA	ENSG00000273443	chr1
ENSG00000217801	transcribed_unprocessed_pseudogene	ENSG00000217801	chr1
ENSG00000304119	lncRNA	ENSG00000304119	chr1
ENSG00000304169	lncRNA	ENSG00000304169	chr1
ENSG00000237330	protein_coding	RNF223	chr1
ENSG00000131591	protein_coding	C1orf159	chr1
ENSG00000285812	lncRNA	ENSG00000285812	chr1
ENSG00000299943	lncRNA	ENSG00000299943	chr1
ENSG00000223823	lncRNA	LINC01342	chr1
ENSG00000304965	lncRNA	ENSG00000304965	chr1
ENSG00000207730	miRNA	MIR200B	chr1
ENSG00000207607	miRNA	MIR200A	chr1
ENSG00000198976	miRNA	MIR429	chr1
ENSG00000272141	lncRNA	ENSG00000272141	chr1
ENSG00000205231	lncRNA	TTLL10-AS1	chr1
ENSG00000162571	protein_coding	TTLL10	chr1
ENSG00000186891	protein_coding	TNFRSF18	chr1
ENSG00000186827	protein_coding	TNFRSF4	chr1
ENSG00000304412	lncRNA	ENSG00000304412	chr1
ENSG00000078808	protein_coding	SDF4	chr1
ENSG00000176022	protein_coding	B3GALT6	chr1
ENSG00000184163	protein_coding	C1QTNF12	chr1
ENSG00000260179	lncRNA	ENSG00000260179	chr1
ENSG00000160087	protein_coding	UBE2J2	chr1
ENSG00000230415	lncRNA	LINC01786	chr1
ENSG00000162572	protein_coding	SCNN1D	chr1
ENSG00000131584	protein_coding	ACAP3	chr1
ENSG00000278073	miRNA	MIR6726	chr1
ENSG00000169972	protein_coding	PUSL1	chr1
ENSG00000127054	protein_coding	INTS11	chr1
ENSG00000283712	miRNA	MIR6727	chr1
ENSG00000240731	lncRNA	ENSG00000240731	chr1
ENSG00000224051	protein_coding	CPTP	chr1
ENSG00000169962	protein_coding	TAS1R3	chr1
ENSG00000107404	protein_coding	DVL1	chr1
ENSG00000284372	miRNA	MIR6808	chr1
ENSG00000304860	lncRNA	ENSG00000304860	chr1
ENSG00000162576	protein_coding	MXRA8	chr1
ENSG00000175756	protein_coding	AURKAIP1	chr1
ENSG00000223663	processed_pseudogene	NDUFB4P8	chr1
ENSG00000221978	protein_coding	CCNL2	chr1
ENSG00000224870	lncRNA	MRPL20-AS1	chr1
ENSG00000242485	protein_coding	MRPL20	chr1
ENSG00000264293	misc_RNA	RN7SL657P	chr1
ENSG00000301639	lncRNA	ENSG00000301639	chr1
ENSG00000272455	lncRNA	MRPL20-DT	chr1
ENSG00000235098	protein_coding	ANKRD65	chr1
ENSG00000225905	lncRNA	ANKRD65-AS1	chr1
ENSG00000205116	protein_coding	TMEM88B	chr1
ENSG00000225285	lncRNA	LINC01770	chr1
ENSG00000179403	protein_coding	VWA1	chr1
ENSG00000215915	protein_coding	ATAD3C	chr1
ENSG00000160072	protein_coding	ATAD3B	chr1
ENSG00000290916	lncRNA	ENSG00000290916	chr1
ENSG00000284740	transcribed_unprocessed_pseudogene	ENSG00000284740	chr1
ENSG00000197785	protein_coding	ATAD3A	chr1
ENSG00000205090	protein_coding	TMEM240	chr1
ENSG00000299413	lncRNA	ENSG00000299413	chr1
ENSG00000160075	protein_coding	SSU72	chr1
ENSG00000215014	lncRNA	SSU72-AS1	chr1
ENSG00000274481	processed_pseudogene	ENSG00000274481	chr1
ENSG00000228594	protein_coding	FNDC10	chr1
ENSG00000286989	lncRNA	ENSG00000286989	chr1
ENSG00000272106	lncRNA	ENSG00000272106	chr1
ENSG00000197530	protein_coding	MIB2	chr1
ENSG00000189409	protein_coding	MMP23B	chr1
ENSG00000248333	protein_coding	CDK11B	chr1
ENSG00000272004	lncRNA	ENSG00000272004	chr1
ENSG00000189339	protein_coding	SLC35E2B	chr1
ENSG00000293187	lncRNA	ENSG00000293187	chr1
ENSG00000269737	transcribed_processed_pseudogene	ENSG00000269737	chr1
ENSG00000310190	lncRNA	ENSG00000310190	chr1
ENSG00000310238	lncRNA	ENSG00000310238	chr1
ENSG00000215914	transcribed_unprocessed_pseudogene	MMP23A	chr1
ENSG00000008128	protein_coding	CDK11A	chr1
ENSG00000268575	lncRNA	ENSG00000268575	chr1
ENSG00000293188	lncRNA	ENSG00000293188	chr1
ENSG00000290854	lncRNA	ENSG00000290854	chr1
ENSG00000215790	transcribed_unprocessed_pseudogene	SLC35E2A	chr1
ENSG00000227775	transcribed_processed_pseudogene	ENSG00000227775	chr1
ENSG00000008130	protein_coding	NADK	chr1
ENSG00000302550	lncRNA	ENSG00000302550	chr1
ENSG00000078369	protein_coding	GNB1	chr1
ENSG00000231050	lncRNA	GNB1-DT	chr1
ENSG00000303984	lncRNA	ENSG00000303984	chr1
ENSG00000294910	lncRNA	ENSG00000294910	chr1
ENSG00000306476	lncRNA	ENSG00000306476	chr1
ENSG00000169885	protein_coding	CALML6	chr1
ENSG00000178821	protein_coding	TMEM52	chr1
ENSG00000142609	protein_coding	CFAP74	chr1
ENSG00000233542	lncRNA	ENSG00000233542	chr1
ENSG00000187730	protein_coding	GABRD	chr1
ENSG00000304958	lncRNA	ENSG00000304958	chr1
ENSG00000226969	lncRNA	PRKCZ-DT	chr1
ENSG00000067606	protein_coding	PRKCZ	chr1
ENSG00000308181	lncRNA	ENSG00000308181	chr1
ENSG00000271806	lncRNA	ENSG00000271806	chr1
ENSG00000182873	lncRNA	PRKCZ-AS1	chr1
ENSG00000162585	protein_coding	FAAP20	chr1
ENSG00000304038	lncRNA	ENSG00000304038	chr1
ENSG00000234396	lncRNA	ENSG00000234396	chr1
ENSG00000304143	lncRNA	ENSG00000304143	chr1
ENSG00000157933	protein_coding	SKI	chr1
ENSG00000295493	lncRNA	ENSG00000295493	chr1
ENSG00000287356	lncRNA	ENSG00000287356	chr1
ENSG00000116151	protein_coding	MORN1	chr1
ENSG00000272161	lncRNA	ENSG00000272161	chr1
ENSG00000292993	lncRNA	ENSG00000292993	chr1
ENSG00000269896	transcribed_processed_pseudogene	ENSG00000269896	chr1
ENSG00000272420	lncRNA	ENSG00000272420	chr1
ENSG00000295371	lncRNA	ENSG00000295371	chr1
ENSG00000157916	protein_coding	RER1	chr1
ENSG00000157911	protein_coding	PEX10	chr1
ENSG00000149527	protein_coding	PLCH2	chr1
ENSG00000224387	lncRNA	ENSG00000224387	chr1
ENSG00000229393	lncRNA	ENSG00000229393	chr1
ENSG00000157881	protein_coding	PANK4	chr1
ENSG00000197921	protein_coding	HES5	chr1
ENSG00000272449	lncRNA	ENSG00000272449	chr1
ENSG00000238164	lncRNA	TNFRSF14-AS1	chr1
ENSG00000307979	lncRNA	ENSG00000307979	chr1
ENSG00000157873	protein_coding	TNFRSF14	chr1
ENSG00000225931	TEC	ENSG00000225931	chr1
ENSG00000307958	lncRNA	ENSG00000307958	chr1
ENSG00000228037	lncRNA	ENSG00000228037	chr1
ENSG00000289610	lncRNA	ENSG00000289610	chr1
ENSG00000157870	protein_coding	PRXL2B	chr1
ENSG00000142606	protein_coding	MMEL1	chr1
ENSG00000237058	lncRNA	MMEL1-AS1	chr1
ENSG00000215912	protein_coding	TTC34	chr1
ENSG00000285945	lncRNA	ENSG00000285945	chr1
ENSG00000283259	lncRNA	ENSG00000283259	chr1
ENSG00000233234	lncRNA	ENSG00000233234	chr1
ENSG00000287396	lncRNA	ENSG00000287396	chr1
ENSG00000231630	lncRNA	ENSG00000231630	chr1
ENSG00000302855	lncRNA	ENSG00000302855	chr1
ENSG00000295089	lncRNA	ENSG00000295089	chr1
ENSG00000300015	lncRNA	ENSG00000300015	chr1
ENSG00000284745	lncRNA	ENSG00000284745	chr1
ENSG00000169717	protein_coding	ACTRT2	chr1
ENSG00000177133	lncRNA	PRDM16-DT	chr1
ENSG00000142611	protein_coding	PRDM16	chr1
ENSG00000283572	miRNA	MIR4251	chr1
ENSG00000226286	lncRNA	ENSG00000226286	chr1
ENSG00000306427	lncRNA	ENSG00000306427	chr1
ENSG00000279839	TEC	ENSG00000279839	chr1
ENSG00000306439	lncRNA	ENSG00000306439	chr1
ENSG00000272235	lncRNA	ENSG00000272235	chr1
ENSG00000287828	lncRNA	ENSG00000287828	chr1
ENSG00000286518	lncRNA	ENSG00000286518	chr1
ENSG00000295754	lncRNA	ENSG00000295754	chr1
ENSG00000297626	lncRNA	ENSG00000297626	chr1
ENSG00000130762	protein_coding	ARHGEF16	chr1
ENSG00000272088	lncRNA	ENSG00000272088	chr1
ENSG00000162591	protein_coding	MEGF6	chr1
ENSG00000207776	miRNA	MIR551A	chr1
ENSG00000309127	lncRNA	ENSG00000309127	chr1
ENSG00000238260	lncRNA	ENSG00000238260	chr1
ENSG00000158109	protein_coding	TPRG1L	chr1
ENSG00000116213	protein_coding	WRAP73	chr1
ENSG00000078900	protein_coding	TP73	chr1
ENSG00000227589	lncRNA	TP73-AS3	chr1
ENSG00000235131	lncRNA	TP73-AS2	chr1
ENSG00000293478	lncRNA	GFOD3P	chr1
ENSG00000276189	misc_RNA	ENSG00000276189	chr1
ENSG00000227372	transcribed_unitary_pseudogene	GFOD3P	chr1
ENSG00000162592	protein_coding	CCDC27	chr1
ENSG00000296834	lncRNA	ENSG00000296834	chr1
ENSG00000235169	protein_coding	SMIM1	chr1
ENSG00000130764	protein_coding	LRRC47	chr1
ENSG00000266075	misc_RNA	RN7SL574P	chr1
ENSG00000272153	lncRNA	ENSG00000272153	chr1
ENSG00000116198	protein_coding	CEP104	chr1
ENSG00000169598	protein_coding	DFFB	chr1
ENSG00000198912	protein_coding	C1orf174	chr1
ENSG00000236423	lncRNA	LINC01134	chr1
ENSG00000233304	lncRNA	LINC01346	chr1
ENSG00000226374	lncRNA	LINC01345	chr1
ENSG00000284668	lncRNA	LINC02780	chr1
ENSG00000284703	lncRNA	ENSG00000284703	chr1
ENSG00000296871	lncRNA	ENSG00000296871	chr1
ENSG00000308587	lncRNA	ENSG00000308587	chr1
ENSG00000229280	processed_pseudogene	EEF1DP6	chr1
ENSG00000301255	lncRNA	ENSG00000301255	chr1
ENSG00000299169	lncRNA	ENSG00000299169	chr1
ENSG00000302287	lncRNA	ENSG00000302287	chr1
ENSG00000235054	lncRNA	LINC01777	chr1
ENSG00000306535	lncRNA	ENSG00000306535	chr1
ENSG00000284694	lncRNA	ENSG00000284694	chr1
ENSG00000299517	lncRNA	ENSG00000299517	chr1
ENSG00000227169	lncRNA	ENSG00000227169	chr1
ENSG00000295490	lncRNA	ENSG00000295490	chr1
ENSG00000232596	lncRNA	LINC01646	chr1
ENSG00000300565	lncRNA	ENSG00000300565	chr1
ENSG00000303830	lncRNA	ENSG00000303830	chr1
ENSG00000196581	protein_coding	AJAP1	chr1
ENSG00000287586	lncRNA	ENSG00000287586	chr1
ENSG00000284739	lncRNA	ENSG00000284739	chr1
ENSG00000284674	lncRNA	LINC02781	chr1
ENSG00000309102	lncRNA	ENSG00000309102	chr1
ENSG00000309111	lncRNA	ENSG00000309111	chr1
ENSG00000231510	lncRNA	LINC02782	chr1
ENSG00000296716	lncRNA	ENSG00000296716	chr1
ENSG00000302269	lncRNA	ENSG00000302269	chr1
ENSG00000306645	lncRNA	ENSG00000306645	chr1
ENSG00000284616	lncRNA	ENSG00000284616	chr1
ENSG00000302445	lncRNA	ENSG00000302445	chr1
ENSG00000302452	lncRNA	ENSG00000302452	chr1
ENSG00000295735	lncRNA	ENSG00000295735	chr1
ENSG00000284692	lncRNA	ENSG00000284692	chr1
ENSG00000284666	lncRNA	ENSG00000284666	chr1
ENSG00000260972	lncRNA	ENSG00000260972	chr1
ENSG00000299325	lncRNA	ENSG00000299325	chr1
ENSG00000283356	unprocessed_pseudogene	ENSG00000283356	chr1
ENSG00000289893	lncRNA	ENSG00000289893	chr1
ENSG00000264341	miRNA	ENSG00000264341	chr1
ENSG00000295108	lncRNA	ENSG00000295108	chr1
ENSG00000295122	lncRNA	ENSG00000295122	chr1
ENSG00000298180	lncRNA	ENSG00000298180	chr1
ENSG00000264101	miRNA	MIR4689	chr1
ENSG00000131697	protein_coding	NPHP4	chr1
ENSG00000299539	lncRNA	ENSG00000299539	chr1
ENSG00000069424	protein_coding	KCNAB2	chr1
ENSG00000116254	protein_coding	CHD5	chr1
ENSG00000285629	protein_coding	ENSG00000285629	chr1
ENSG00000116251	protein_coding	RPL22	chr1
ENSG00000226944	lncRNA	RNF207-AS1	chr1
ENSG00000158286	protein_coding	RNF207	chr1
ENSG00000116237	protein_coding	ICMT	chr1
ENSG00000225077	lncRNA	ICMT-DT	chr1
ENSG00000173673	protein_coding	HES3	chr1
ENSG00000158292	protein_coding	GPR153	chr1
ENSG00000097021	protein_coding	ACOT7	chr1
ENSG00000271746	lncRNA	ENSG00000271746	chr1
ENSG00000069812	protein_coding	HES2	chr1
ENSG00000187017	protein_coding	ESPN	chr1
ENSG00000265392	miRNA	MIR4252	chr1
ENSG00000231868	lncRNA	ENSG00000231868	chr1
ENSG00000215788	protein_coding	TNFRSF25	chr1
ENSG00000171680	protein_coding	PLEKHG5	chr1
ENSG00000297749	lncRNA	ENSG00000297749	chr1
ENSG00000299237	lncRNA	ENSG00000299237	chr1
ENSG00000299253	lncRNA	ENSG00000299253	chr1
ENSG00000162408	protein_coding	NOL9	chr1
ENSG00000253022	snRNA	RNU6-731P	chr1
ENSG00000229519	processed_pseudogene	ENSG00000229519	chr1
ENSG00000173662	protein_coding	TAS1R1	chr1
ENSG00000204859	protein_coding	ZBTB48	chr1
ENSG00000162413	protein_coding	KLHL21	chr1
ENSG00000295286	lncRNA	ENSG00000295286	chr1
ENSG00000304810	lncRNA	ENSG00000304810	chr1
ENSG00000116273	protein_coding	PHF13	chr1
ENSG00000041988	protein_coding	THAP3	chr1
ENSG00000007923	protein_coding	DNAJC11	chr1
ENSG00000228750	lncRNA	LINC01672	chr1
ENSG00000284744	lncRNA	ENSG00000284744	chr1
ENSG00000237436	lncRNA	CAMTA1-DT	chr1
ENSG00000171735	protein_coding	CAMTA1	chr1
ENSG00000227950	processed_pseudogene	ENSG00000227950	chr1
ENSG00000237365	lncRNA	CAMTA1-AS3	chr1
ENSG00000207056	snRNA	RNU1-8P	chr1
ENSG00000310450	lncRNA	ENSG00000310450	chr1
ENSG00000237402	lncRNA	CAMTA1-IT1	chr1
ENSG00000237728	lncRNA	CAMTA1-AS2	chr1
ENSG00000294314	lncRNA	ENSG00000294314	chr1
ENSG00000225126	lncRNA	CAMTA1-AS1	chr1
ENSG00000298973	lncRNA	ENSG00000298973	chr1
ENSG00000306883	lncRNA	ENSG00000306883	chr1
ENSG00000302704	lncRNA	ENSG00000302704	chr1
ENSG00000270171	lncRNA	ENSG00000270171	chr1
ENSG00000270035	lncRNA	ENSG00000270035	chr1
ENSG00000269978	lncRNA	ENSG00000269978	chr1
ENSG00000300603	lncRNA	ENSG00000300603	chr1
ENSG00000049245	protein_coding	VAMP3	chr1
ENSG00000269925	lncRNA	ENSG00000269925	chr1
ENSG00000049246	protein_coding	PER3	chr1
ENSG00000236266	lncRNA	ENSG00000236266	chr1
ENSG00000049247	protein_coding	UTS2	chr1
ENSG00000302605	lncRNA	ENSG00000302605	chr1
ENSG00000049249	protein_coding	TNFRSF9	chr1
ENSG00000270330	processed_pseudogene	ENSG00000270330	chr1
ENSG00000116288	protein_coding	PARK7	chr1
ENSG00000299004	lncRNA	ENSG00000299004	chr1
ENSG00000200344	misc_RNA	Y_RNA	chr1
ENSG00000284747	lncRNA	ENSG00000284747	chr1
ENSG00000284716	lncRNA	ENSG00000284716	chr1
ENSG00000116285	protein_coding	ERRFI1	chr1
ENSG00000238290	lncRNA	ERRFI1-DT	chr1
ENSG00000232848	processed_pseudogene	RPL7AP18	chr1
ENSG00000301325	lncRNA	ENSG00000301325	chr1
ENSG00000227634	lncRNA	LINC01714	chr1
ENSG00000229305	processed_pseudogene	ENSG00000229305	chr1
ENSG00000301344	lncRNA	ENSG00000301344	chr1
ENSG00000200975	snRNA	RNU1-7P	chr1
ENSG00000233645	lncRNA	ENSG00000233645	chr1
ENSG00000298156	lncRNA	ENSG00000298156	chr1
ENSG00000301025	lncRNA	ENSG00000301025	chr1
ENSG00000301006	lncRNA	ENSG00000301006	chr1
ENSG00000251977	snRNA	RNU6-991P	chr1
ENSG00000162426	protein_coding	SLC45A1	chr1
ENSG00000252254	misc_RNA	Y_RNA	chr1
ENSG00000142599	protein_coding	RERE	chr1
ENSG00000232912	lncRNA	RERE-AS1	chr1
ENSG00000221083	snoRNA	ENSG00000221083	chr1
ENSG00000270282	processed_pseudogene	ENSG00000270282	chr1
ENSG00000234619	processed_pseudogene	RPL7P11	chr1
ENSG00000224315	processed_pseudogene	RPL7P7	chr1
ENSG00000303676	lncRNA	ENSG00000303676	chr1
ENSG00000222511	misc_RNA	Y_RNA	chr1
ENSG00000226545	unprocessed_pseudogene	ENSG00000226545	chr1
ENSG00000228423	lncRNA	ENSG00000228423	chr1
ENSG00000229716	processed_pseudogene	RPL23AP19	chr1
ENSG00000074800	protein_coding	ENO1	chr1
ENSG00000274258	miRNA	MIR6728	chr1
ENSG00000230679	lncRNA	ENO1-AS1	chr1
ENSG00000201725	snRNA	RNU6-304P	chr1
ENSG00000238249	processed_pseudogene	HMGN2P17	chr1
ENSG00000310107	lncRNA	ENSG00000310107	chr1
ENSG00000232208	transcribed_processed_pseudogene	ENSG00000232208	chr1
ENSG00000232663	processed_pseudogene	ENSG00000232663	chr1
ENSG00000310124	lncRNA	ENSG00000310124	chr1
ENSG00000131686	protein_coding	CA6	chr1
ENSG00000290109	lncRNA	ENSG00000290109	chr1
ENSG00000265141	misc_RNA	RN7SL451P	chr1
ENSG00000197241	protein_coding	SLC2A7	chr1
ENSG00000142583	protein_coding	SLC2A5	chr1
ENSG00000252404	scaRNA	ENSG00000252404	chr1
ENSG00000180758	protein_coding	GPR157	chr1
ENSG00000228526	lncRNA	MIR34AHG	chr1
ENSG00000284357	miRNA	MIR34A	chr1
ENSG00000289914	lncRNA	ENSG00000289914	chr1
ENSG00000302015	lncRNA	ENSG00000302015	chr1
ENSG00000234546	lncRNA	LNCTAM34A	chr1
ENSG00000301983	lncRNA	ENSG00000301983	chr1
ENSG00000301968	lncRNA	ENSG00000301968	chr1
ENSG00000049239	protein_coding	H6PD	chr1
ENSG00000302217	lncRNA	ENSG00000302217	chr1
ENSG00000171621	protein_coding	SPSB1	chr1
ENSG00000294252	lncRNA	ENSG00000294252	chr1
ENSG00000296073	lncRNA	ENSG00000296073	chr1
ENSG00000296056	lncRNA	ENSG00000296056	chr1
ENSG00000307568	lncRNA	ENSG00000307568	chr1
ENSG00000284652	lncRNA	ENSG00000284652	chr1
ENSG00000284693	lncRNA	LINC02606	chr1
ENSG00000252956	rRNA_pseudogene	RNA5SP40	chr1
ENSG00000301013	lncRNA	ENSG00000301013	chr1
ENSG00000301030	lncRNA	ENSG00000301030	chr1
ENSG00000306844	lncRNA	ENSG00000306844	chr1
ENSG00000296249	lncRNA	ENSG00000296249	chr1
ENSG00000235263	lncRNA	ENSG00000235263	chr1
ENSG00000171612	protein_coding	SLC25A33	chr1
ENSG00000231181	processed_pseudogene	ENSG00000231181	chr1
ENSG00000188807	protein_coding	TMEM201	chr1
ENSG00000307011	lncRNA	ENSG00000307011	chr1
ENSG00000171608	protein_coding	PIK3CD	chr1
ENSG00000179840	lncRNA	PIK3CD-AS1	chr1
ENSG00000233268	processed_pseudogene	ENSG00000233268	chr1
ENSG00000301080	lncRNA	ENSG00000301080	chr1
ENSG00000231789	lncRNA	PIK3CD-AS2	chr1
ENSG00000171603	protein_coding	CLSTN1	chr1
ENSG00000271264	processed_pseudogene	MZT1P1	chr1
ENSG00000280113	TEC	ENSG00000280113	chr1
ENSG00000178585	protein_coding	CTNNBIP1	chr1
ENSG00000223989	lncRNA	ENSG00000223989	chr1
ENSG00000285701	lncRNA	ENSG00000285701	chr1
ENSG00000228150	lncRNA	ENSG00000228150	chr1
ENSG00000162441	protein_coding	LZIC	chr1
ENSG00000173614	protein_coding	NMNAT1	chr1
ENSG00000202415	misc_RNA	RN7SKP269	chr1
ENSG00000283611	unitary_pseudogene	TMEM274P	chr1
ENSG00000265521	miRNA	MIR5697	chr1
ENSG00000241326	lncRNA	ENSG00000241326	chr1
ENSG00000162444	protein_coding	RBP7	chr1
ENSG00000130939	protein_coding	UBE4B	chr1
ENSG00000224340	processed_pseudogene	RPL21P21	chr1
ENSG00000233623	processed_pseudogene	PGAM1P11	chr1
ENSG00000201746	snRNA	RNU6-828P	chr1
ENSG00000054523	protein_coding	KIF1B	chr1
ENSG00000264881	miRNA	ENSG00000264881	chr1
ENSG00000199562	snRNA	RNU6-37P	chr1
ENSG00000264501	misc_RNA	RN7SL731P	chr1
ENSG00000284735	lncRNA	ENSG00000284735	chr1
ENSG00000284642	lncRNA	ENSG00000284642	chr1
ENSG00000142657	protein_coding	PGD	chr1
ENSG00000271989	lncRNA	ENSG00000271989	chr1
ENSG00000251503	protein_coding	CENPS-CORT	chr1
ENSG00000175279	protein_coding	CENPS	chr1
ENSG00000241563	protein_coding	CORT	chr1
ENSG00000160049	protein_coding	DFFA	chr1
ENSG00000203469	lncRNA	ENSG00000203469	chr1
ENSG00000142655	protein_coding	PEX14	chr1
ENSG00000307253	lncRNA	ENSG00000307253	chr1
ENSG00000287727	lncRNA	ENSG00000287727	chr1
ENSG00000243267	misc_RNA	RN7SL614P	chr1
ENSG00000130940	protein_coding	CASZ1	chr1
ENSG00000272078	lncRNA	ENSG00000272078	chr1
ENSG00000298629	lncRNA	ENSG00000298629	chr1
ENSG00000308013	lncRNA	ENSG00000308013	chr1
ENSG00000307983	lncRNA	ENSG00000307983	chr1
ENSG00000307999	lncRNA	ENSG00000307999	chr1
ENSG00000225158	processed_pseudogene	HSPE1P24	chr1
ENSG00000308257	lncRNA	ENSG00000308257	chr1
ENSG00000175262	protein_coding	C1orf127	chr1
ENSG00000215785	processed_pseudogene	CFL1P6	chr1
ENSG00000120948	protein_coding	TARDBP	chr1
ENSG00000009724	protein_coding	MASP2	chr1
ENSG00000116649	protein_coding	SRM	chr1
ENSG00000230337	lncRNA	EXOSC10-AS1	chr1
ENSG00000171824	protein_coding	EXOSC10	chr1
ENSG00000198793	protein_coding	MTOR	chr1
ENSG00000225602	lncRNA	MTOR-AS1	chr1
ENSG00000253086	snRNA	RNU6-537P	chr1
ENSG00000171819	protein_coding	ANGPTL7	chr1
ENSG00000207451	snRNA	RNU6-291P	chr1
ENSG00000238173	processed_pseudogene	RPL39P6	chr1
