ensembl_id	symbol	name	type_of_gene
ENSG00000116604	MEF2D	myocyte enhancer factor 2D	protein-coding
ENSG00000116641	DOCK7	dedicator of cytokinesis 7	protein-coding
ENSG00000116649	SRM	spermidine synthase	protein-coding
ENSG00000116652	DLEU2L	deleted in lymphocytic leukemia 2 like	
ENSG00000116661	FBXO2	F-box protein 2	protein-coding
ENSG00000116663	FBXO6	F-box protein 6	protein-coding
ENSG00000116667	C1orf21	chromosome 1 open reading frame 21	protein-coding
ENSG00000116668	SWT1	SWT1 RNA endoribonuclease homolog	protein-coding
ENSG00000116670	MAD2L2	mitotic arrest deficient 2 like 2	protein-coding
ENSG00000116675	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	protein-coding
ENSG00000116678	LEPR	leptin receptor	protein-coding
ENSG00000116679	IVNS1ABP	influenza virus NS1A binding protein	protein-coding
ENSG00000116685	KIAA2013	KIAA2013	protein-coding
ENSG00000116688	MFN2	mitofusin 2	protein-coding
ENSG00000116690	PRG4	proteoglycan 4	protein-coding
ENSG00000116691	MIIP	migration and invasion inhibitory protein	protein-coding
ENSG00000116698	SMG7	SMG7 nonsense mediated mRNA decay factor	protein-coding
ENSG00000116701	NCF2	neutrophil cytosolic factor 2	protein-coding
ENSG00000116703	PDC	phosducin	protein-coding
ENSG00000116704	SLC35D1	solute carrier family 35 member D1	protein-coding
ENSG00000116711	PLA2G4A	phospholipase A2 group IVA	protein-coding
ENSG00000116717	GADD45A	growth arrest and DNA damage inducible alpha	protein-coding
ENSG00000116721	PRAMEF1	PRAME family member 1	protein-coding
ENSG00000116726	PRAMEF12	PRAME family member 12	protein-coding
ENSG00000116729	WLS	Wnt ligand secretion mediator	protein-coding
ENSG00000116731	PRDM2	PR/SET domain 2	protein-coding
ENSG00000116741	RGS2	regulator of G protein signaling 2	protein-coding
ENSG00000116745	RPE65	retinoid isomerohydrolase RPE65	protein-coding
ENSG00000116747	RO60	Ro60, Y RNA binding protein	protein-coding
ENSG00000116748	AMPD1	adenosine monophosphate deaminase 1	protein-coding
ENSG00000116750	UCHL5	ubiquitin C-terminal hydrolase L5	protein-coding
ENSG00000116752	BCAS2	BCAS2 pre-mRNA processing factor	protein-coding
ENSG00000116754	SRSF11	serine and arginine rich splicing factor 11	protein-coding
ENSG00000116761	CTH	cystathionine gamma-lyase	protein-coding
ENSG00000116771	AGMAT	agmatinase (putative)	protein-coding
ENSG00000116774	OLFML3	olfactomedin like 3	protein-coding
ENSG00000116783	TNNI3K	TNNI3 interacting kinase	protein-coding
ENSG00000116785	CFHR3	complement factor H related 3	protein-coding
ENSG00000116786	PLEKHM2	pleckstrin homology and RUN domain containing M2	protein-coding
ENSG00000116791	CRYZ	crystallin zeta	protein-coding
ENSG00000116793	PHTF1	putative homeodomain transcription factor 1	protein-coding
ENSG00000116809	ZBTB17	zinc finger and BTB domain containing 17	protein-coding
ENSG00000116815	CD58	CD58 molecule	protein-coding
ENSG00000116819	TFAP2E	transcription factor AP-2 epsilon	protein-coding
ENSG00000116824	CD2	CD2 molecule	protein-coding
ENSG00000116830	TTF2	transcription termination factor 2	protein-coding
ENSG00000116833	NR5A2	nuclear receptor subfamily 5 group A member 2	protein-coding
ENSG00000116852	KIF21B	kinesin family member 21B	protein-coding
ENSG00000116857	TMEM9	transmembrane protein 9	protein-coding
ENSG00000116863	ADPRS	ADP-ribosylserine hydrolase	protein-coding
ENSG00000116871	MAP7D1	MAP7 domain containing 1	protein-coding
ENSG00000116874	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	protein-coding
ENSG00000116882	HAO2	hydroxyacid oxidase 2	protein-coding
ENSG00000116883			
ENSG00000116885	OSCP1	organic solute carrier partner 1	protein-coding
ENSG00000116898	MRPS15	mitochondrial ribosomal protein S15	protein-coding
ENSG00000116903	EXOC8	exocyst complex component 8	protein-coding
ENSG00000116906	GNPAT	glyceronephosphate O-acyltransferase	protein-coding
ENSG00000116918	TSNAX	translin associated factor X	protein-coding
ENSG00000116922	AIRIM	AFG2 interacting ribosome maturation factor	protein-coding
ENSG00000116954	RRAGC	Ras related GTP binding C	protein-coding
ENSG00000116957			
ENSG00000116962	NID1	nidogen 1	protein-coding
ENSG00000116977	LGALS8	galectin 8	protein-coding
ENSG00000116981	NT5C1A	5'-nucleotidase, cytosolic IA	protein-coding
ENSG00000116983	HPCAL4	hippocalcin like 4	protein-coding
ENSG00000116984	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	protein-coding
ENSG00000116985	BMP8B	bone morphogenetic protein 8b	protein-coding
ENSG00000116990	MYCL	MYCL proto-oncogene, bHLH transcription factor	protein-coding
ENSG00000116991	SIPA1L2	signal induced proliferation associated 1 like 2	protein-coding
ENSG00000116996	ZP4	zona pellucida glycoprotein 4	protein-coding
ENSG00000117000	RLF	RLF zinc finger	protein-coding
ENSG00000117009	KMO	kynurenine 3-monooxygenase	protein-coding
ENSG00000117010	ZNF684	zinc finger protein 684	protein-coding
ENSG00000117013	KCNQ4	potassium voltage-gated channel subfamily Q member 4	protein-coding
ENSG00000117016	RIMS3	regulating synaptic membrane exocytosis 3	protein-coding
ENSG00000117020	AKT3	AKT serine/threonine kinase 3	protein-coding
ENSG00000117036	ETV3	ETS variant transcription factor 3	protein-coding
ENSG00000117054	ACADM	acyl-CoA dehydrogenase medium chain	protein-coding
ENSG00000117069	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
ENSG00000117090	SLAMF1	signaling lymphocytic activation molecule family member 1	protein-coding
ENSG00000117091	CD48	CD48 molecule	protein-coding
ENSG00000117114	ADGRL2	adhesion G protein-coupled receptor L2	protein-coding
ENSG00000117115	PADI2	peptidyl arginine deiminase 2	protein-coding
ENSG00000117118	SDHB	succinate dehydrogenase complex iron sulfur subunit B	protein-coding
ENSG00000117122	MFAP2	microfibril associated protein 2	protein-coding
ENSG00000117133	RPF1	ribosome production factor 1 homolog	protein-coding
ENSG00000117139	KDM5B	lysine demethylase 5B	protein-coding
ENSG00000117143	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	protein-coding
ENSG00000117148	ACTL8	actin like 8	protein-coding
ENSG00000117151	CTBS	chitobiase	protein-coding
ENSG00000117152	RGS4	regulator of G protein signaling 4	protein-coding
ENSG00000117153	KLHL12	kelch like family member 12	protein-coding
ENSG00000117154	IGSF21	immunoglobin superfamily member 21	protein-coding
ENSG00000117155	SSX2IP	SSX family member 2 interacting protein	protein-coding
ENSG00000117174	ZNHIT6	zinc finger HIT-type containing 6	protein-coding
ENSG00000117215	PLA2G2D	phospholipase A2 group IID	protein-coding
ENSG00000117222	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit	protein-coding
ENSG00000117226	GBP3	guanylate binding protein 3	protein-coding
ENSG00000117228	GBP1	guanylate binding protein 1	protein-coding
ENSG00000117242	PINK1-AS	PINK1 antisense RNA	ncRNA
ENSG00000117245	KIF17	kinesin family member 17	protein-coding
ENSG00000117262	GPHRA	golgi pH regulator A	protein-coding
ENSG00000117266	CDK18	cyclin dependent kinase 18	protein-coding
ENSG00000117280	RAB29	RAB29, member RAS oncogene family	protein-coding
ENSG00000117281	CD160	CD160 molecule	protein-coding
ENSG00000117298	ECE1	endothelin converting enzyme 1	protein-coding
ENSG00000117305	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	protein-coding
ENSG00000117308	GALE	UDP-galactose-4-epimerase	protein-coding
ENSG00000117318	ID3	inhibitor of DNA binding 3	protein-coding
ENSG00000117322	CR2	complement C3d receptor 2	protein-coding
ENSG00000117335	CD46	CD46 molecule	protein-coding
ENSG00000117360	PRPF3	pre-mRNA processing factor 3	protein-coding
ENSG00000117362	APH1A	aph-1A gamma-secretase subunit	protein-coding
ENSG00000117385	P3H1	prolyl 3-hydroxylase 1	protein-coding
ENSG00000117394	SLC2A1	solute carrier family 2 member 1	protein-coding
ENSG00000117395	EBNA1BP2	EBNA1 binding protein 2	protein-coding
ENSG00000117399	CDC20	cell division cycle 20	protein-coding
ENSG00000117400	MPL	MPL proto-oncogene, thrombopoietin receptor	protein-coding
ENSG00000117407	ARTN	artemin	protein-coding
ENSG00000117408	IPO13	importin 13	protein-coding
ENSG00000117410	ATP6V0B	ATPase H+ transporting V0 subunit b	protein-coding
ENSG00000117411	B4GALT2	beta-1,4-galactosyltransferase 2	protein-coding
ENSG00000117419	ERI3	ERI1 exoribonuclease family member 3	protein-coding
ENSG00000117425	PTCH2	patched 2	protein-coding
ENSG00000117448	AKR1A1	aldo-keto reductase family 1 member A1	protein-coding
ENSG00000117450	PRDX1	peroxiredoxin 1	protein-coding
ENSG00000117461	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	protein-coding
ENSG00000117472	TSPAN1	tetraspanin 1	protein-coding
ENSG00000117475	BLZF1	basic leucine zipper nuclear factor 1	protein-coding
ENSG00000117477	CCDC181	coiled-coil domain containing 181	protein-coding
ENSG00000117479	SLC19A2	solute carrier family 19 member 2	protein-coding
ENSG00000117480	FAAH	fatty acid amide hydrolase	protein-coding
ENSG00000117481	NSUN4	NOP2/Sun RNA methyltransferase 4	protein-coding
ENSG00000117500	TMED5	transmembrane p24 trafficking protein 5	protein-coding
ENSG00000117501	MROH9	maestro heat like repeat family member 9	protein-coding
ENSG00000117505	DR1	down-regulator of transcription 1	protein-coding
ENSG00000117507	FMO6P	flavin containing dimethylaniline monoxygenase 6, pseudogene	
ENSG00000117519	CNN3	calponin 3	protein-coding
ENSG00000117523	PRRC2C	proline rich coiled-coil 2C	protein-coding
ENSG00000117525	F3	coagulation factor III, tissue factor	protein-coding
ENSG00000117528	ABCD3	ATP binding cassette subfamily D member 3	protein-coding
ENSG00000117533	VAMP4	vesicle associated membrane protein 4	protein-coding
ENSG00000117543	DPH5	diphthamide biosynthesis 5	protein-coding
ENSG00000117560	FASLG	Fas ligand	protein-coding
ENSG00000117569	PTBP2	polypyrimidine tract binding protein 2	protein-coding
ENSG00000117586	TNFSF4	TNF superfamily member 4	protein-coding
ENSG00000117592	PRDX6	peroxiredoxin 6	protein-coding
ENSG00000117593	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	protein-coding
ENSG00000117594	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	protein-coding
ENSG00000117595	IRF6	interferon regulatory factor 6	protein-coding
ENSG00000117597	UTP25	UTP25 small subunit processome component	protein-coding
ENSG00000117598	PLPPR5	phospholipid phosphatase related 5	protein-coding
ENSG00000117600	PLPPR4	phospholipid phosphatase related 4	protein-coding
ENSG00000117601	SERPINC1	serpin family C member 1	protein-coding
ENSG00000117602	RCAN3	RCAN family member 3	protein-coding
ENSG00000117614	SYF2	SYF2 pre-mRNA splicing factor	protein-coding
ENSG00000117616	RSRP1	arginine and serine rich protein 1	protein-coding
ENSG00000117620	SLC35A3	solute carrier family 35 member A3	protein-coding
ENSG00000117625	RCOR3	REST corepressor 3	protein-coding
ENSG00000117632	STMN1	stathmin 1	protein-coding
ENSG00000117640	MTFR1L	mitochondrial fission regulator 1 like	protein-coding
ENSG00000117643	MAN1C1	mannosidase alpha class 1C member 1	protein-coding
ENSG00000117650	NEK2	NIMA related kinase 2	protein-coding
ENSG00000117676	RPS6KA1	ribosomal protein S6 kinase A1	protein-coding
ENSG00000117682	DHDDS	dehydrodolichyl diphosphate synthase subunit	protein-coding
ENSG00000117691	NENF	neudesin neurotrophic factor	protein-coding
ENSG00000117697	NSL1	NSL1 component of MIS12 kinetochore complex	protein-coding
ENSG00000117707	PROX1	prospero homeobox 1	protein-coding
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	protein-coding
ENSG00000117724	CENPF	centromere protein F	protein-coding
ENSG00000117748	RPA2	replication protein A2	protein-coding
ENSG00000117751	PPP1R8	protein phosphatase 1 regulatory subunit 8	protein-coding
ENSG00000117758	STX12	syntaxin 12	protein-coding
ENSG00000117791	MTARC2	mitochondrial amidoxime reducing component 2	protein-coding
ENSG00000117834	SLC5A9	solute carrier family 5 member 9	protein-coding
ENSG00000117859	OSBPL9	oxysterol binding protein like 9	protein-coding
ENSG00000117862	TXNDC12	thioredoxin domain containing 12	protein-coding
ENSG00000117868	ESYT2	extended synaptotagmin 2	protein-coding
ENSG00000117877	POLR1G	RNA polymerase I subunit G	protein-coding
ENSG00000117899	MESD	mesoderm development LRP chaperone	protein-coding
ENSG00000117906	RCN2	reticulocalbin 2	protein-coding
ENSG00000117971	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	protein-coding
ENSG00000117983	MUC5B	mucin 5B, oligomeric mucus/gel-forming	protein-coding
ENSG00000117984	CTSD	cathepsin D	protein-coding
ENSG00000118004	COLEC11	collectin subfamily member 11	protein-coding
ENSG00000118007	STAG1	STAG1 cohesin complex component	protein-coding
ENSG00000118017	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	protein-coding
ENSG00000118046	STK11	serine/threonine kinase 11	protein-coding
ENSG00000118058	KMT2A	lysine methyltransferase 2A	protein-coding
ENSG00000118094	TREH	trehalase	protein-coding
ENSG00000118096	IFT46	intraflagellar transport 46	protein-coding
ENSG00000118113	MMP8	matrix metallopeptidase 8	protein-coding
ENSG00000118137	APOA1	apolipoprotein A1	protein-coding
ENSG00000118156	ZNF541	zinc finger protein 541	protein-coding
ENSG00000118160	SLC8A2	solute carrier family 8 member A2	protein-coding
ENSG00000118162	KPTN	kaptin, actin binding protein	protein-coding
ENSG00000118181	RPS25	ribosomal protein S25	protein-coding
ENSG00000118193	KIF14	kinesin family member 14	protein-coding
ENSG00000118194	TNNT2	troponin T2, cardiac type	protein-coding
ENSG00000118197	DDX59	DEAD-box helicase 59	protein-coding
ENSG00000118200	CAMSAP2	calmodulin regulated spectrin associated protein family member 2	protein-coding
ENSG00000118217	ATF6	activating transcription factor 6	protein-coding
ENSG00000118231	CRYGD	crystallin gamma D	protein-coding
ENSG00000118242	MREG	melanoregulin	protein-coding
ENSG00000118245	TNP1	transition protein 1	protein-coding
ENSG00000118246	FASTKD2	FAST kinase domains 2	protein-coding
ENSG00000118257	NRP2	neuropilin 2	protein-coding
ENSG00000118260	CREB1	cAMP responsive element binding protein 1	protein-coding
ENSG00000118263	KLF7	KLF transcription factor 7	protein-coding
ENSG00000118271	TTR	transthyretin	protein-coding
ENSG00000118276	B4GALT6	beta-1,4-galactosyltransferase 6	protein-coding
ENSG00000118292	C1orf54	chromosome 1 open reading frame 54	protein-coding
ENSG00000118298	CA14	carbonic anhydrase 14	protein-coding
ENSG00000118307	DNAI7	dynein axonemal intermediate chain 7	protein-coding
ENSG00000118308	IRAG2	inositol 1,4,5-triphosphate receptor associated 2	protein-coding
ENSG00000118322	ATP10B	ATPase phospholipid transporting 10B (putative)	protein-coding
ENSG00000118363	SPCS2	signal peptidase complex subunit 2	protein-coding
ENSG00000118369	USP35	ubiquitin specific peptidase 35	protein-coding
ENSG00000118402	ELOVL4	ELOVL fatty acid elongase 4	protein-coding
ENSG00000118407	FILIP1	filamin A interacting protein 1	protein-coding
ENSG00000118412	CASP8AP2	caspase 8 associated protein 2	protein-coding
ENSG00000118418	HMGN3	high mobility group nucleosomal binding domain 3	protein-coding
ENSG00000118420	UBE3D	ubiquitin protein ligase E3D	protein-coding
ENSG00000118432	CNR1	cannabinoid receptor 1	protein-coding
ENSG00000118434	SPACA1	sperm acrosome associated 1	protein-coding
ENSG00000118454	ANKRD13C	ankyrin repeat domain 13C	protein-coding
ENSG00000118473	SGIP1	SH3GL interacting endocytic adaptor 1	protein-coding
ENSG00000118482	PHF3	PHD finger protein 3	protein-coding
ENSG00000118491	ZC2HC1B	zinc finger C2HC-type containing 1B	protein-coding
ENSG00000118492	ADGB	androglobin	protein-coding
ENSG00000118495	PLAGL1	PLAG1 like zinc finger 1	protein-coding
ENSG00000118496	FBXO30	F-box protein 30	protein-coding
ENSG00000118503	TNFAIP3	TNF alpha induced protein 3	protein-coding
ENSG00000118507	AKAP7	A-kinase anchoring protein 7	protein-coding
ENSG00000118508	RAB32	RAB32, member RAS oncogene family	protein-coding
ENSG00000118513	MYB	MYB proto-oncogene, transcription factor	protein-coding
ENSG00000118514	ALDH8A1	aldehyde dehydrogenase 8 family member A1	protein-coding
ENSG00000118515	SGK1	serum/glucocorticoid regulated kinase 1	protein-coding
ENSG00000118518	RNF146	ring finger protein 146	protein-coding
ENSG00000118520	ARG1	arginase 1	protein-coding
ENSG00000118523	CCN2	cellular communication network factor 2	protein-coding
ENSG00000118526	TCF21	transcription factor 21	protein-coding
ENSG00000118557	PMFBP1	polyamine modulated factor 1 binding protein 1	protein-coding
ENSG00000118564	FBXL5	F-box and leucine rich repeat protein 5	protein-coding
ENSG00000118579	MED28	mediator complex subunit 28	protein-coding
ENSG00000118596	SLC16A7	solute carrier family 16 member 7	protein-coding
ENSG00000118600	RXYLT1	ribitol xylosyltransferase 1	protein-coding
ENSG00000118620	ZNF430	zinc finger protein 430	protein-coding
ENSG00000118640	VAMP8	vesicle associated membrane protein 8	protein-coding
ENSG00000118655	DCLRE1B	DNA cross-link repair 1B	protein-coding
ENSG00000118680	MYL12B	myosin light chain 12B	protein-coding
ENSG00000118689	FOXO3	forkhead box O3	protein-coding
ENSG00000118690	ARMC2	armadillo repeat containing 2	protein-coding
ENSG00000118702	GHRH	growth hormone releasing hormone	protein-coding
ENSG00000118705	RPN2	ribophorin II	protein-coding
ENSG00000118707	TGIF2	TGFB induced factor homeobox 2	protein-coding
ENSG00000118729	CASQ2	calsequestrin 2	protein-coding
ENSG00000118733	OLFM3	olfactomedin 3	protein-coding
ENSG00000118762	PKD2	polycystin 2, transient receptor potential cation channel	protein-coding
ENSG00000118777	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	protein-coding
ENSG00000118785	SPP1	secreted phosphoprotein 1	protein-coding
ENSG00000118804	STBD1	starch binding domain 1	protein-coding
ENSG00000118816	CCNI	cyclin I	protein-coding
ENSG00000118849	RARRES1	retinoic acid receptor responder 1	protein-coding
ENSG00000118855	MFSD1	major facilitator superfamily domain containing 1	protein-coding
ENSG00000118873	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2	protein-coding
ENSG00000118894	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	protein-coding
ENSG00000118898	PPL	periplakin	protein-coding
ENSG00000118900	UBN1	ubinuclein 1	protein-coding
ENSG00000118903	BTF3P11	basic transcription factor 3 pseudogene 11	
ENSG00000118922	KLF12	KLF transcription factor 12	protein-coding
ENSG00000118939	UCHL3	ubiquitin C-terminal hydrolase L3	protein-coding
ENSG00000118946	PCDH17	protocadherin 17	protein-coding
ENSG00000118960	HS1BP3	HCLS1 binding protein 3	protein-coding
ENSG00000118961	LDAH	lipid droplet associated hydrolase	protein-coding
ENSG00000118965	WDR35	WD repeat domain 35	protein-coding
ENSG00000118971	CCND2	cyclin D2	protein-coding
ENSG00000118972	FGF23	fibroblast growth factor 23	protein-coding
ENSG00000118976	OTUD4P1	OTUD4 pseudogene 1	
ENSG00000118985	ELL2	elongation factor for RNA polymerase II 2	protein-coding
ENSG00000118990	GLRXP3	glutaredoxin pseudogene 3	
ENSG00000118997	DNAH7	dynein axonemal heavy chain 7	protein-coding
ENSG00000119004	CYP20A1	cytochrome P450 family 20 subfamily A member 1	protein-coding
ENSG00000119013	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	protein-coding
ENSG00000119041	GTF3C3	general transcription factor IIIC subunit 3	protein-coding
ENSG00000119042	SATB2	SATB homeobox 2	protein-coding
ENSG00000119048	UBE2B	ubiquitin conjugating enzyme E2 B	protein-coding
ENSG00000119121	TRPM6	transient receptor potential cation channel subfamily M member 6	protein-coding
ENSG00000119125	GDA	guanine deaminase	protein-coding
ENSG00000119138	KLF9	KLF transcription factor 9	protein-coding
ENSG00000119139	TJP2	tight junction protein 2	protein-coding
ENSG00000119147	ECRG4	ECRG4 augurin precursor	protein-coding
ENSG00000119185	ITGB1BP1	integrin subunit beta 1 binding protein 1	protein-coding
ENSG00000119203	CPSF3	cleavage and polyadenylation specific factor 3	protein-coding
ENSG00000119227	PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z (Gwada blood group)	protein-coding
ENSG00000119231	SENP5	SUMO specific peptidase 5	protein-coding
ENSG00000119242	CCDC92	coiled-coil domain containing 92	protein-coding
ENSG00000119280	C1orf198	chromosome 1 open reading frame 198	protein-coding
ENSG00000119283	TRIM67	tripartite motif containing 67	protein-coding
ENSG00000119285	HEATR1	HEAT repeat containing 1	protein-coding
ENSG00000119314	PTBP3	polypyrimidine tract binding protein 3	protein-coding
ENSG00000119318	RAD23B	RAD23 nucleotide excision repair protein B	protein-coding
ENSG00000119321	FKBP15	FKBP prolyl isomerase family member 15	protein-coding
ENSG00000119326	CTNNAL1	catenin alpha like 1	protein-coding
ENSG00000119328	ABITRAM	actin binding transcription modulator	protein-coding
ENSG00000119333	DYNC2I2	dynein 2 intermediate chain 2	protein-coding
ENSG00000119335	SET	SET nuclear proto-oncogene	protein-coding
ENSG00000119383	PTPA	protein phosphatase 2 phosphatase activator	protein-coding
ENSG00000119392	GLE1	GLE1 RNA export mediator	protein-coding
ENSG00000119396	RAB14	RAB14, member RAS oncogene family	protein-coding
ENSG00000119397	CNTRL	centriolin	protein-coding
ENSG00000119401	TRIM32	tripartite motif containing 32	protein-coding
ENSG00000119402	FBXW2	F-box and WD repeat domain containing 2	protein-coding
ENSG00000119403	PHF19	PHD finger protein 19	protein-coding
ENSG00000119408	NEK6	NIMA related kinase 6	protein-coding
ENSG00000119411	BSPRY	B-box and SPRY domain containing	protein-coding
ENSG00000119414	PPP6C	protein phosphatase 6 catalytic subunit	protein-coding
ENSG00000119421	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	protein-coding
ENSG00000119431	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	protein-coding
ENSG00000119440	LCN1P1	lipocalin 1 pseudogene 1	pseudo
ENSG00000119446	RBM18	RNA binding motif protein 18	protein-coding
ENSG00000119457	SLC46A2	solute carrier family 46 member 2	protein-coding
ENSG00000119471	HSDL2	hydroxysteroid dehydrogenase like 2	protein-coding
ENSG00000119487	MAPKAP1	MAPK associated protein 1	protein-coding
ENSG00000119508	NR4A3	nuclear receptor subfamily 4 group A member 3	protein-coding
ENSG00000119509	INVS	inversin	protein-coding
ENSG00000119514	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	protein-coding
ENSG00000119522	DENND1A	DENN domain containing 1A	protein-coding
ENSG00000119523	ALG2	ALG2 alpha-1,3/1,6-mannosyltransferase	protein-coding
ENSG00000119535	CSF3R	colony stimulating factor 3 receptor	protein-coding
ENSG00000119537	KDSR	3-ketodihydrosphingosine reductase	protein-coding
ENSG00000119541	VPS4B	vacuolar protein sorting 4 homolog B	protein-coding
ENSG00000119547	ONECUT2	one cut homeobox 2	protein-coding
ENSG00000119559	C19orf25	chromosome 19 open reading frame 25	protein-coding
ENSG00000119574	ZBTB45	zinc finger and BTB domain containing 45	protein-coding
ENSG00000119596	YLPM1	YLP motif containing 1	protein-coding
ENSG00000119599	DCAF4	DDB1 and CUL4 associated factor 4	protein-coding
ENSG00000119608	PROX2	prospero homeobox 2	protein-coding
ENSG00000119614	VSX2	visual system homeobox 2	protein-coding
ENSG00000119616	FCF1	FCF1 rRNA-processing protein	protein-coding
ENSG00000119630	PGF	placental growth factor	protein-coding
ENSG00000119632	IFI27L2	interferon alpha inducible protein 27 like 2	protein-coding
ENSG00000119636	BBOF1	basal body orientation factor 1	protein-coding
ENSG00000119638	NEK9	NIMA related kinase 9	protein-coding
ENSG00000119640	ACYP1	acylphosphatase 1	protein-coding
ENSG00000119650	IFT43	intraflagellar transport 43	protein-coding
ENSG00000119655	NPC2	NPC intracellular cholesterol transporter 2	protein-coding
ENSG00000119660	DPPA5P4	developmental pluripotency associated 5 pseudogene 4	
ENSG00000119661	DNAL1	dynein axonemal light chain 1	protein-coding
ENSG00000119669	IRF2BPL	interferon regulatory factor 2 binding protein like	protein-coding
ENSG00000119673	ACOT2	acyl-CoA thioesterase 2	protein-coding
ENSG00000119681	LTBP2	latent transforming growth factor beta binding protein 2	protein-coding
ENSG00000119682	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	protein-coding
ENSG00000119684	MLH3	mutL homolog 3	protein-coding
ENSG00000119685	TTLL5	tubulin tyrosine ligase like 5	protein-coding
ENSG00000119686	FLVCR2	FLVCR choline and putative heme transporter 2	protein-coding
ENSG00000119688	ABCD4	ATP binding cassette subfamily D member 4	protein-coding
ENSG00000119689	DLST	dihydrolipoamide S-succinyltransferase	protein-coding
ENSG00000119698	PPP4R4	protein phosphatase 4 regulatory subunit 4	protein-coding
ENSG00000119699	TGFB3	transforming growth factor beta 3	protein-coding
ENSG00000119703	ZC2HC1C	zinc finger C2HC-type containing 1C	protein-coding
ENSG00000119705	SLIRP	SRA stem-loop interacting RNA binding protein	protein-coding
ENSG00000119707	RBM25	RNA binding motif protein 25	protein-coding
ENSG00000119711	ALDH6A1	aldehyde dehydrogenase 6 family member A1	protein-coding
ENSG00000119714	GPR68	G protein-coupled receptor 68	protein-coding
ENSG00000119715	ESRRB	estrogen related receptor beta	protein-coding
ENSG00000119718	EIF2B2	eukaryotic translation initiation factor 2B subunit beta	protein-coding
ENSG00000119720	NRDE2	NRDE-2, necessary for RNA interference, domain containing	protein-coding
ENSG00000119723	COQ6	coenzyme Q6, monooxygenase	protein-coding
ENSG00000119725	ZNF410	zinc finger protein 410	protein-coding
ENSG00000119729	RHOQ	ras homolog family member Q	protein-coding
ENSG00000119737	GPR75	G protein-coupled receptor 75	protein-coding
ENSG00000119760	SUPT7L	SPT7 like, STAGA complex subunit gamma	protein-coding
ENSG00000119771	KLHL29	kelch like family member 29	protein-coding
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	protein-coding
ENSG00000119777	TMEM214	transmembrane protein 214	protein-coding
ENSG00000119778	ATAD2B	ATPase family AAA domain containing 2B	protein-coding
ENSG00000119782	FKBP1B	FKBP prolyl isomerase 1B	protein-coding
ENSG00000119787	ATL2	atlastin GTPase 2	protein-coding
ENSG00000119801	YPEL5	yippee like 5	protein-coding
ENSG00000119812	FAM98A	family with sequence similarity 98 member A	protein-coding
ENSG00000119820	YIPF4	Yip1 domain family member 4	protein-coding
ENSG00000119844	AFTPH	aftiphilin	protein-coding
ENSG00000119862	LGALSL	galectin like	protein-coding
ENSG00000119865	CNRIP1	cannabinoid receptor interacting protein 1	protein-coding
ENSG00000119866	BCL11A	BCL11 transcription factor A	protein-coding
ENSG00000119878	CRIPT	CXXC repeat containing interactor of PDZ3 domain	protein-coding
ENSG00000119888	EPCAM	epithelial cell adhesion molecule	protein-coding
ENSG00000119899	SLC17A5	solute carrier family 17 member 5	protein-coding
ENSG00000119900	OGFRL1	opioid growth factor receptor like 1	protein-coding
ENSG00000119906	SLF2	SMC5/6 complex localization factor 2	protein-coding
ENSG00000119912	IDE	insulin degrading enzyme	protein-coding
ENSG00000119913	TECTB	tectorin beta	protein-coding
ENSG00000119915	ELOVL3	ELOVL fatty acid elongase 3	protein-coding
ENSG00000119917	IFIT3	interferon induced protein with tetratricopeptide repeats 3	protein-coding
ENSG00000119919	NKX2-3	NK2 homeobox 3	protein-coding
ENSG00000119922	IFIT2	interferon induced protein with tetratricopeptide repeats 2	protein-coding
ENSG00000119927	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	protein-coding
ENSG00000119929	CUTC	cutC copper transporter	protein-coding
ENSG00000119938	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	protein-coding
ENSG00000119943	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	protein-coding
ENSG00000119946	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	protein-coding
