gene,expression
ALPL,8
ALPP,0
ALPPL2,0
ALS2,214
ALS2CL,11
ALS2CR11,7
ALS2CR12,3
ALX1,0
ALX3,0
ALX4,0
ALYREF,265
AMACR,111
AMBN,0
AMBP,128
AMBRA1,88
AMD1,671
AMDHD1,4
AMDHD2,86
AMELX,1
AMELY,0
AMER1,25
AMER2,12
AMER3,3
AMFR,307
AMH,12
AMHR2,17
AMICA1,9
AMIGO1,97
AMIGO2,87
AMIGO3,8
AMMECR1,98
AMMECR1L,166
AMN,31
AMN1,237
AMOT,45
AMOTL1,270
AMOTL2,175
AMPD1,5
AMPD2,999
AMPD3,160
AMPH,88
AMT,86
AMTN,0
AMY1A,0
AMY1B,0
AMY1C,0
AMY2A,232
AMY2B,103
AMZ1,2
AMZ2,929
AMZ2P1,383
ANAPC1,290
ANAPC10,184
ANAPC11,3140
ANAPC13,1365
ANAPC15,384
ANAPC16,1423
ANAPC1P1,0
ANAPC2,192
ANAPC4,90
ANAPC5,949
ANAPC7,376
ANG,164
ANGEL1,619
ANGEL2,192
ANGPT1,29
ANGPT2,223
ANGPT4,0
ANGPTL1,11
ANGPTL2,362
ANGPTL3,4
ANGPTL4,753
ANGPTL5,0
ANGPTL6,10
ANGPTL7,0
ANHX,0
ANK1,48
ANK2,26
ANK3,115
ANKAR,18
ANKDD1A,14
ANKDD1B,3
ANKEF1,40
ANKFN1,0
ANKFY1,42
ANKH,1290
ANKHD1,534
ANKHD1-EIF4EBP3,5
ANKIB1,516
ANKK1,1
ANKLE1,0
ANKLE2,420
ANKMY1,40
ANKMY2,252
ANKRA2,308
ANKRD1,26
ANKRD10,795
ANKRD10-IT1,9
ANKRD11,1210
ANKRD12,804
ANKRD13A,280
ANKRD13B,21
ANKRD13C,188
ANKRD13D,153
ANKRD16,79
ANKRD17,464
ANKRD18A,24
ANKRD18DP,5
ANKRD19P,9
ANKRD2,1
ANKRD20A1,0
ANKRD20A11P,4
ANKRD20A19P,0
ANKRD20A2,0
ANKRD20A3,9
ANKRD20A4,2
ANKRD20A5P,0
ANKRD20A8P,7
ANKRD22,10
ANKRD23,73
ANKRD24,0
ANKRD26,101
ANKRD26P1,1
ANKRD27,148
ANKRD28,250
ANKRD29,21
ANKRD30A,1
ANKRD30B,0
ANKRD30BL,3
ANKRD30BP2,0
ANKRD33,1
ANKRD34A,32
ANKRD34B,0
ANKRD34C,54
ANKRD35,5
ANKRD36,188
ANKRD36B,52
ANKRD36BP2,94
ANKRD36C,17
ANKRD37,209
ANKRD39,225
ANKRD40,462
ANKRD42,100
ANKRD44,12
ANKRD44-IT1,0
ANKRD45,18
ANKRD46,329
ANKRD49,156
ANKRD50,110
ANKRD52,285
ANKRD53,8
ANKRD54,82
ANKRD55,0
ANKRD6,109
ANKRD62,5
ANKRD63,1
ANKRD65,44
ANKRD66,1
ANKRD7,12
ANKRD9,290
ANKS1A,164
ANKS1B,62
ANKS3,134
ANKS4B,5
ANKS6,53
ANKUB1,0
ANKZF1,96
ANLN,6
ANO1,141
ANO10,520
ANO2,2
ANO3,2
ANO4,0
ANO5,135
ANO6,194
ANO7,35
ANO7P1,0
ANO8,58
ANO9,31
ANOS1,3
ANP32A,1025
ANP32AP1,114
ANP32B,1811
ANP32D,91
ANP32E,508
ANPEP,876
ANTXR1,48
ANTXR2,86
ANXA1,185
ANXA10,49
ANXA11,3155
ANXA13,13
ANXA2,8376
ANXA2R,17
ANXA3,288
ANXA4,1161
ANXA5,3465
ANXA6,2123
ANXA7,1852
ANXA8,1
ANXA8L1,0
ANXA9,26
AOAH,7
AOC1,1
AOC2,13
AOC3,1
AOC4P,0
AOX1,70
AOX3P,0
AP1AR,246
AP1B1,909
AP1G1,789
AP1G2,194
AP1M1,524
AP1M2,669
AP1S1,1029
AP1S2,464
AP1S3,15
AP2A1,563
AP2A2,768
AP2B1,2474
AP2M1,2366
AP2S1,1513
AP3B1,615
AP3B2,170
AP3D1,995
AP3M1,501
AP3M2,169
AP3S1,442
AP3S2,343
AP4B1,90
AP4E1,72
AP4M1,126
AP4S1,66
AP5B1,47
AP5M1,443
AP5S1,34
AP5Z1,226
APAF1,63
APBA1,117
APBA2,7
APBA3,176
APBB1,720
APBB1IP,0
APBB2,548
APBB3,252
APC,269
APC2,1
APCDD1,160
APCDD1L,148
APCS,40
APEH,433
APELA,0
APEX1,895
APEX2,227
APH1A,1136
APH1B,398
API5,1011
APIP,332
APITD1,287
APITD1-CORT,13
APLF,16
APLN,14
APLNR,88
APLP1,2031
APLP2,3540
APMAP,993
APOA1,3
APOA1BP,1499
APOA2,6
APOA4,0
APOA5,0
APOB,0
APOBEC1,1
APOBEC2,509
APOBEC3A,6
APOBEC3B,3
APOBEC3C,19
APOBEC3D,13
APOBEC3F,35
APOBEC3G,36
APOBEC3H,0
APOBEC4,6
APOBR,5
APOC1,16
APOC1P1,0
APOC2,0
APOC3,0
APOC4,0
APOC4-APOC2,14
APOD,75
APOE,230
APOF,0
APOH,64
APOL1,40
APOL2,150
APOL3,23
APOL4,5
APOL5,0
APOL6,18
APOLD1,166
APOM,34
APOO,348
APOOL,17
APOPT1,215
APP,4518
APPBP2,509
APPL1,821
APPL2,619
APRT,917
APTR,44
APTX,310
AQP1,185
AQP10,1
AQP11,38
AQP12A,0
AQP12B,0
AQP2,0
AQP3,3538
AQP4,13
AQP5,8
AQP6,1
AQP7,14
AQP8,22
AQP9,7
AQR,346
AR,34
ARAF,179
ARAP1,616
ARAP2,38
ARAP3,50
ARC,9
ARCN1,2314
AREG,117
AREL1,190
ARF1,7679
ARF3,2265
ARF4,3509
ARF5,706
ARF6,1022
ARFGAP1,318
ARFGAP2,607
ARFGAP3,1029
ARFGEF1,462
ARFGEF2,446
ARFGEF3,2119
ARFIP1,390
ARFIP2,790
ARFRP1,229
ARG1,2
ARG2,994
ARGLU1,521
ARHGAP1,1308
ARHGAP10,89
ARHGAP11A,19
ARHGAP11B,4
ARHGAP12,315
ARHGAP15,5
ARHGAP17,245
ARHGAP18,303
ARHGAP19,88
ARHGAP19-SLIT1,6
ARHGAP20,2
ARHGAP21,323
ARHGAP22,5
ARHGAP23,1
ARHGAP24,222
ARHGAP25,32
ARHGAP26,40
ARHGAP27,63
ARHGAP28,4
ARHGAP29,258
ARHGAP30,11
ARHGAP31,133
ARHGAP32,241
ARHGAP33,27
ARHGAP35,470
ARHGAP36,0
ARHGAP39,32
ARHGAP4,20
ARHGAP42,1
ARHGAP44,542
ARHGAP5,776
ARHGAP6,11
ARHGAP8,14
ARHGAP9,4
ARHGDIA,1527
ARHGDIB,264
ARHGDIG,50
ARHGEF1,117
ARHGEF10,64
ARHGEF10L,323
ARHGEF11,222
ARHGEF12,1136
ARHGEF15,29
ARHGEF16,119
ARHGEF17,214
ARHGEF18,277
ARHGEF19,26
ARHGEF2,250
ARHGEF25,53
ARHGEF26,57
ARHGEF28,129
ARHGEF3,543
ARHGEF33,11
ARHGEF35,68
ARHGEF37,86
ARHGEF38,2
ARHGEF39,9
ARHGEF4,55
ARHGEF40,197
ARHGEF5,157
ARHGEF6,52
ARHGEF7,402
ARHGEF7-IT1,0
ARHGEF9,525
ARID1A,955
ARID1B,443
ARID2,237
ARID3A,251
ARID3B,87
ARID3C,0
ARID4A,189
ARID4B,529
ARID5A,121
ARID5B,640
ARIH1,500
ARIH2,772
ARIH2OS,5
ARL1,1893
ARL10,118
ARL11,7
ARL13A,0
ARL13B,132
ARL14,21
ARL14EP,271
ARL15,243
ARL16,128
ARL17A,34
ARL17B,17
ARL2,1928
ARL2-SNX15,0
ARL2BP,920
ARL3,1292
ARL4A,248
ARL4C,445
ARL4D,138
ARL5A,934
ARL5B,475
ARL5C,0
ARL6,142
ARL6IP1,2416
ARL6IP4,283
ARL6IP5,1293
ARL6IP6,258
ARL8A,584
ARL8B,855
ARL9,10
ARMC1,403
ARMC10,585
ARMC12,1
ARMC2,28
ARMC3,8
ARMC4,7
ARMC4P1,0
ARMC5,85
ARMC6,274
ARMC7,95
ARMC8,414
ARMC9,46
ARMCX1,188
ARMCX2,88
ARMCX3,825
ARMCX4,31
ARMCX5,149
ARMCX6,489
ARMS2,0
ARMT1,341
ARNT,290
ARNT2,418
ARNTL,96
ARNTL2,32
ARPC1A,1704
ARPC1B,1794
ARPC2,3593
ARPC3,4164
ARPC4,1708
ARPC5,1939
ARPC5L,998
ARPIN,193
ARPP19,2975
ARPP21,0
ARR3,1
ARRB1,60
ARRB2,213
ARRDC1,227
ARRDC2,92
ARRDC3,643
ARRDC4,156
ARSA,292
ARSB,220
ARSD,544
ARSE,64
ARSF,0
ARSG,13
ARSH,0
ARSI,9
ARSJ,51
ARSK,26
ART1,0
ART3,1
ART4,4
ART5,0
ARTN,29
ARV1,368
ARVCF,278
ARX,359
AS3MT,42
ASAH1,1286
ASAH2,157
ASAP1,786
ASAP2,87
ASAP3,15
ASB1,386
ASB10,0
ASB11,1
ASB12,4
ASB13,39
ASB14,0
ASB15,0
ASB16,8
ASB17,0
ASB18,0
ASB2,8
ASB3,80
ASB4,164
ASB5,0
ASB6,198
ASB7,113
ASB8,481
ASB9,190
ASCC1,189
ASCC2,482
ASCC3,75
ASCL1,128
ASCL2,218
ASCL3,0
ASCL4,0
ASCL5,1
ASF1A,230
ASF1B,9
ASGR1,12
ASGR2,1
ASH1L,638
ASH2L,336
ASIC1,21
ASIC2,3
ASIC3,33
ASIC4,0
ASIC5,1
ASIP,1
ASL,113
ASMT,0
ASMTL,346
ASNA1,782
ASNS,921
ASNSD1,699
ASPA,5
ASPDH,20
ASPG,0
ASPH,1729
ASPHD1,506
ASPHD2,48
ASPM,8
ASPN,3
ASPRV1,12
ASPSCR1,205
ASRGL1,236
ASS1,252
ASTE1,75
ASTL,0
ASTN1,32
ASTN2,24
ASUN,215
ASXL1,229
ASXL2,335
ASZ1,0
ATAD1,427
ATAD2,51
ATAD2B,59
ATAD3A,284
ATAD3B,112
ATAD3C,21
ATAD5,8
ATAT1,91
ATCAY,43
ATE1,130
ATF1,268
ATF2,512
ATF3,1038
ATF4,2394
ATF5,253
ATF6,992
ATF6B,239
ATF7,341
ATF7IP,230
ATF7IP2,101
ATG10,85
ATG101,516
ATG12,427
ATG13,676
ATG14,53
ATG16L1,173
ATG16L2,117
ATG2A,185
ATG2B,0
ATG3,730
ATG4A,131
ATG4B,624
ATG4C,101
ATG4D,322
ATG5,387
ATG7,87
ATG9A,427
ATG9B,15
ATHL1,73
ATIC,302
ATL1,91
ATL2,283
ATL3,670
ATM,363
ATMIN,529
ATN1,418
ATOH1,0
ATOH7,1
ATOH8,45
ATOX1,1970
ATP10A,13
ATP10B,56
ATP10D,199
ATP11A,41
ATP11AUN,0
ATP11B,326
ATP11C,40
ATP12A,0
ATP13A1,464
ATP13A2,388
ATP13A3,1137
ATP13A4,3
ATP13A5,0
ATP1A1,4591
ATP1A2,0
ATP1A3,7
ATP1A4,0
ATP1B1,817
ATP1B2,215
ATP1B3,941
ATP1B4,0
ATP2A1,4
ATP2A2,1240
ATP2A3,405
ATP2B1,657
ATP2B2,2
ATP2B2-IT2,0
ATP2B3,9
ATP2B4,417
ATP2C1,785
ATP2C2,8
ATP4A,87
ATP4B,0
ATP5A1,2903
ATP5B,3598
ATP5C1,1621
ATP5D,3811
ATP5E,9173
ATP5EP2,3853
ATP5F1,1711
ATP5G1,2453
ATP5G2,6580
ATP5G3,3164
ATP5H,1714
ATP5I,3387
ATP5J,2492
ATP5J2,2071
ATP5J2-PTCD1,1
ATP5L,5500
ATP5L2,138
ATP5O,2010
ATP5S,192
ATP5SL,76
ATP6AP1,3690
ATP6AP1L,57
ATP6AP2,1996
ATP6V0A1,945
ATP6V0A2,182
ATP6V0A4,0
ATP6V0B,5402
ATP6V0C,4
ATP6V0D1,960
ATP6V0D2,9
ATP6V0E1,3286
ATP6V0E2,964
ATP6V1A,2290
ATP6V1B1,2
ATP6V1B2,1744
ATP6V1C1,506
ATP6V1C2,6
ATP6V1D,1746
ATP6V1E1,2503
ATP6V1E2,122
ATP6V1F,2682
ATP6V1G1,5159
ATP6V1G2,14
ATP6V1G2-DDX39B,0
ATP6V1G3,0
ATP6V1H,762
ATP7A,114
ATP7B,49
ATP8A1,567
ATP8A2,12
ATP8B1,151
ATP8B2,293
ATP8B3,6
ATP8B4,2
ATP8B5P,8
ATP9A,1916
ATP9B,103
ATPAF1,520
ATPAF2,143
ATPIF1,3415
ATR,109
ATRAID,2409
ATRIP,42
ATRN,39
ATRNL1,357
ATRX,1251
ATXN1,170
ATXN10,1222
ATXN1L,336
ATXN2,507
ATXN2L,646
ATXN3,241
ATXN3L,0
ATXN7,248
ATXN7L1,32
ATXN7L2,26
ATXN7L3,486
ATXN7L3B,1102
ATXN8OS,3
AUH,238
AUNIP,0
AUP1,1263
AURKA,25
AURKAIP1,2085
AURKB,6
AURKC,32
AUTS2,106
AVEN,145
AVIL,61
AVL9,343
AVP,0
AVPI1,99
AVPR1A,30
AVPR1B,0
AVPR2,2
AWAT1,0
AWAT2,0
AXDND1,2
AXIN1,200
AXIN2,32
AXL,105
AZGP1,68
AZGP1P1,0
AZI2,507
AZIN1,1250
AZIN2,68
AZU1,0
B2M,22485
B3GALNT1,111
B3GALNT2,30
B3GALT1,1
B3GALT2,23
B3GALT4,183
B3GALT5,46
B3GALT6,520
B3GAT1,13
B3GAT2,3
B3GAT3,326
B3GLCT,49
B3GNT2,252
B3GNT3,54
B3GNT4,15
B3GNT5,147
B3GNT6,0
B3GNT7,7
B3GNT8,50
B3GNT9,494
B3GNTL1,18
B4GALNT1,50
B4GALNT2,0
B4GALNT3,123
B4GALNT4,53
B4GALT1,541
B4GALT2,725
B4GALT3,697
B4GALT4,370
B4GALT5,424
B4GALT6,22
B4GALT7,120
B4GAT1,470
B9D1,325
B9D2,88
BAALC,118
BAAT,3
BABAM1,973
BACE1,821
BACE2,726
BACH1,140
BACH1-IT1,2
BACH1-IT3,0
BACH2,124
BAD,652
BAG1,1529
BAG2,197
BAG3,608
BAG4,148
BAG5,429
BAG6,1008
BAGE2,3
BAGE5,0
BAHCC1,8
BAHD1,246
BAIAP2,440
BAIAP2L1,347
BAIAP2L2,25
BAIAP3,830
BAK1,161
BAMBI,112
BANCR,0
BANF1,1499
BANF2,0
BANK1,13
BANP,168
BAP1,348
BARD1,13
BARHL1,19
BARHL2,0
BARX1,6
BARX2,13
BASP1,326
BATF,7
BATF2,54
BATF3,26
BAX,801
BAZ1A,226
BAZ1B,494
BAZ2A,415
BAZ2B,458
BBC3,165
BBIP1,515
BBOX1,0
BBS1,2
BBS10,129
BBS12,45
BBS2,199
BBS4,267
BBS5,308
BBS7,118
BBS9,110
BBX,906
BCAM,412
BCAN,0
BCAP29,285
BCAP31,2419
BCAR1,554
BCAR3,72
BCAR4,0
BCAS1,7
BCAS2,282
BCAS3,100
BCAS4,357
BCAT1,236
BCAT2,676
BCCIP,605
BCDIN3D,64
BCHE,106
BCKDHA,13
BCKDHB,143
BCKDK,666
BCL10,321
BCL11A,35
BCL11B,2
BCL2,26
BCL2A1,23
BCL2L1,1198
BCL2L10,13
BCL2L11,149
BCL2L12,101
BCL2L13,1181
BCL2L14,13
BCL2L15,12
BCL2L2,676
BCL2L2-PABPN1,261
BCL3,575
BCL6,275
BCL6B,161
BCL7A,119
BCL7B,942
BCL7C,293
BCL9,295
BCL9L,342
BCLAF1,782
BCO1,3
BCO2,15
BCOR,228
BCORL1,73
BCORP1,1
BCR,348
BCRP2,31
BCRP3,0
BCS1L,180
BDH1,57
BDH2,117
BDKRB1,18
BDKRB2,125
BDNF,2
BDP1,230
BEAN1,0
BECN1,661
BECN2,0
BEGAIN,59
BEND2,0
BEND3,55
BEND4,0
BEND5,57
BEND6,26
BEND7,382
BEST1,161
BEST2,0
BEST3,12
BEST4,5
BET1,487
BET1L,890
BEX1,3374
BEX2,1026
BEX4,1049
BEX5,610
BFAR,376
BFSP1,27
BFSP2,0
BGLAP,0
BGN,2212
BHLHA15,0
BHLHA9,0
BHLHB9,50
BHLHE22,3
BHLHE23,0
BHLHE40,465
BHLHE41,517
BHMT,8
BHMT2,4
BICC1,92
BICD1,179
BICD2,193
BID,184
BIK,3
BIN1,260
BIN2,4
BIN3,215
BIRC2,720
BIRC3,317
BIRC5,10
BIRC6,531
BIRC7,5
BIRC8,0
BIVM,199
BLACE,1
BLCAP,493
BLID,0
BLK,0
BLM,5
BLMH,581
BLNK,5
BLOC1S1,559
BLOC1S2,470
BLOC1S3,153
BLOC1S4,240
BLOC1S5,221
BLOC1S5-TXNDC5,0
BLOC1S6,888
BLVRA,321
BLVRB,716
BLZF1,163
BMF,328
BMI1,642
BMP1,161
BMP10,0
BMP15,0
BMP2,289
BMP2K,130
BMP3,0
BMP4,25
BMP5,476
BMP6,10
BMP7,10
BMP8A,6
BMP8B,99
BMPER,8
BMPR1A,267
BMPR1B,6
BMPR2,531
BMS1,643
BMS1P17,2
BMS1P22,4
BMS1P4,8
BMX,15
BNC1,6
BNC2,12
BNIP1,169
BNIP2,321
BNIP3,2302
BNIP3L,825
BNIPL,11
BOC,78
BOD1,458
BOD1L1,331
BOD1L2,1
BOK,164
BOLA1,249
BOLA2,0
BOLA2B,336
BOLA3,1220
BOLL,0
BOP1,198
BORA,51
BPESC1,0
BPGM,295
BPHL,87
BPI,1
BPIFA1,0
BPIFA2,0
BPIFA3,0
BPIFA4P,0
BPIFB1,0
BPIFB2,0
BPIFB3,0
BPIFB4,0
BPIFB6,0
BPIFB9P,0
BPIFC,142
BPNT1,145
BPTF,772
BPY2,0
BPY2B,0
BPY2C,0
BRAF,40
BRAP,257
BRAT1,146
BRCA1,18
BRCA2,1
BRCC3,4
BRD1,265
BRD2,2013
BRD3,539
BRD4,761
BRD7,1236
