"","acinar","activated-stellate","alpha","beta","delta","ductal","endothelial","epsilon","gamma","macrophage","mast","quiescent-stellate","schwann","t-cell"
"ABCD2",0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ABCD3",46,18,160,336,99,66,24,2,32,0,0,21,0,0
"ABCD4",6,10,18,44,10,16,21,0,6,6,0,2,0,0
"ABCE1",33,16,43,197,35,35,31,1,4,1,1,15,0,0
"ABCF1",47,21,81,245,53,46,33,0,16,6,1,12,2,0
"ABCF2",41,24,41,139,18,30,16,0,6,2,1,13,0,0
"ABCF3",19,10,40,149,26,38,14,1,15,3,2,3,0,0
"ABCG1",0,0,44,118,16,1,39,1,9,0,0,0,0,0
"ABCG2",0,1,8,2,0,0,2,0,0,0,0,0,0,0
"ABCG4",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,3,2,0,0,0,0,0,0,0,0,0
"ABHD10",2,3,7,67,13,6,0,0,3,0,0,1,0,0
"ABHD11",35,3,26,43,12,40,1,1,3,0,0,6,1,0
"ABHD12",32,18,181,419,90,64,15,8,14,33,0,14,0,0
"ABHD12B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD13",6,13,40,159,41,17,18,0,9,1,1,13,0,0
"ABHD14A",4,4,59,136,27,1,9,1,8,0,0,2,0,0
"ABHD14A.ACY1",17,15,7,43,7,19,6,2,3,1,0,2,1,0
"ABHD14B",45,8,117,314,56,24,18,1,14,1,3,4,0,0
"ABHD15",10,6,141,203,7,10,12,4,26,3,0,3,0,0
"ABHD16A",3,3,23,92,19,6,5,2,6,2,0,1,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",48,26,106,339,74,57,75,3,18,10,1,26,3,0
"ABHD17B",6,5,18,73,10,20,6,4,6,0,1,7,0,0
"ABHD17C",6,3,14,30,9,8,17,0,2,0,0,0,0,0
"ABHD2",59,80,92,302,101,140,21,5,19,15,1,37,18,0
"ABHD3",17,4,56,558,32,50,10,2,9,6,0,8,0,0
"ABHD4",23,6,28,180,17,61,18,1,9,0,1,9,2,0
"ABHD5",26,9,25,103,22,19,10,0,5,3,1,9,1,0
"ABHD6",1,4,10,40,8,6,2,1,0,4,0,2,0,0
"ABHD8",7,2,28,135,25,14,7,1,6,1,1,8,0,0
"ABI1",17,11,46,122,31,44,18,0,5,5,0,3,2,2
"ABI2",19,32,149,513,157,37,40,9,45,6,2,17,0,0
"ABI3",0,0,1,0,0,0,87,0,0,13,0,0,0,0
"ABI3BP",0,8,0,0,13,5,0,0,0,0,0,0,0,0
"ABL1",37,33,51,159,36,41,35,0,14,1,0,42,0,0
"ABL2",16,23,25,109,32,13,35,4,14,2,1,14,8,1
"ABLIM1",0,0,0,2,1,0,0,0,0,0,0,0,0,0
"ABLIM2",2,1,38,48,32,4,1,3,9,0,0,0,0,0
"ABLIM3",9,14,0,0,0,7,12,0,0,0,0,6,4,0
"ABO",2,0,0,3,3,3,1,0,1,0,0,1,0,0
"ABR",6,12,47,447,62,53,17,3,15,10,0,5,0,0
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRACL",74,12,8,208,16,51,38,1,2,5,3,3,1,1
"ABT1",28,12,40,201,38,29,35,2,11,4,0,16,0,0
"ABTB1",7,8,6,25,9,10,16,1,4,6,1,6,0,0
"ABTB2",5,1,2,9,1,29,2,0,0,0,0,0,0,0
"ACAA1",74,23,59,159,45,91,15,4,15,5,1,20,4,0
"ACAA2",86,45,157,494,106,186,37,4,46,12,0,13,3,0
"ACACA",9,3,32,123,21,17,5,0,6,0,0,2,0,0
"ACACB",7,0,13,102,33,2,3,2,8,1,0,3,0,0
"ACAD10",5,5,3,42,13,6,3,0,3,0,0,2,1,1
"ACAD11",0,0,0,9,1,0,0,0,0,0,0,1,0,0
"ACAD8",9,10,20,94,11,12,5,1,5,1,0,6,0,0
"ACAD9",45,44,44,197,38,49,37,4,10,10,0,31,1,0
"ACADL",5,0,0,0,0,3,0,0,0,0,0,0,0,0
"ACADM",18,12,28,265,47,50,31,1,9,4,0,12,1,0
"ACADS",13,5,23,71,8,20,7,1,3,3,0,5,0,0
"ACADSB",5,0,9,114,16,6,2,0,3,0,0,5,0,0
"ACADVL",196,135,285,578,144,338,37,16,43,23,7,103,6,0
"ACAN",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ACAP1",0,2,20,105,18,0,1,0,1,1,1,3,0,0
"ACAP2",13,11,31,149,30,16,12,2,7,1,1,8,0,0
"ACAP3",13,3,36,118,19,12,6,1,9,0,0,3,0,0
"ACAT1",40,16,77,416,64,19,37,4,17,4,0,40,2,0
"ACAT2",24,12,33,91,24,73,12,1,4,0,0,8,1,0
"ACBD3",22,28,119,375,87,41,26,1,11,4,0,9,0,0
"ACBD4",3,0,12,18,6,5,2,2,10,0,0,4,0,1
"ACBD5",19,9,47,191,28,19,11,1,11,2,0,6,0,0
"ACBD6",25,27,54,168,35,20,21,2,7,1,0,18,0,0
"ACBD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCS",5,0,7,3,2,3,0,0,0,0,1,0,0,0
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",9,12,26,77,18,8,5,1,9,2,0,5,0,1
"ACE",0,0,11,36,1,2,78,0,9,0,0,0,0,0
"ACE2",0,0,0,2,0,4,0,0,0,0,0,1,0,0
"ACER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER2",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ACER3",6,6,18,44,8,9,10,0,3,5,1,5,0,0
"ACHE",16,1,10,33,2,9,2,5,21,0,0,0,0,0
"ACIN1",30,29,76,291,55,50,32,1,15,3,2,20,0,0
"ACKR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKR3",4,0,0,0,0,2,203,0,0,0,0,1,0,0
"ACKR4",5,10,1,0,0,0,0,0,0,0,0,0,0,0
"ACLY",40,65,244,1177,167,92,66,12,99,5,4,50,0,2
"ACMSD",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ACO1",24,30,31,153,32,22,20,2,9,5,1,20,1,0
"ACO2",39,47,122,404,56,74,29,1,12,1,0,29,5,0
"ACOT1",0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ACOT11",1,0,3,21,5,2,0,0,3,1,0,0,0,0
"ACOT12",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ACOT13",21,9,127,261,44,17,15,0,20,10,1,8,4,0
"ACOT2",14,9,38,85,18,16,4,1,14,3,0,10,0,0
"ACOT4",1,0,6,14,4,1,2,1,3,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT7",3,3,7,16,10,3,6,7,4,0,1,0,0,0
"ACOT8",31,13,43,130,23,26,9,2,13,6,0,9,0,0
"ACOT9",20,17,14,21,7,35,12,1,3,8,0,7,0,0
"ACOX1",48,14,53,140,22,28,18,2,14,2,1,3,0,0
"ACOX2",1,4,0,1,0,0,0,0,0,0,0,2,0,0
"ACOX3",17,7,5,27,6,12,11,0,1,0,0,3,1,0
"ACOXL",0,0,4,3,0,0,0,0,0,0,0,0,0,0
"ACP1",56,37,233,605,138,66,31,5,23,0,0,27,2,1
"ACP2",23,11,64,163,40,27,18,4,24,8,1,15,3,0
"ACP5",3,75,7,7,3,6,5,0,0,434,4,30,0,0
"ACP6",18,0,24,175,26,4,5,1,13,0,0,5,0,0
"ACPP",0,0,0,103,1,0,0,0,0,1,0,1,2,0
"ACPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",2,0,4,64,7,1,2,0,1,1,0,0,0,0
"ACRC",1,0,5,11,0,1,0,1,0,0,0,1,0,0
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSBG1",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ACSBG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF2",7,7,0,4,0,7,6,0,0,5,0,1,0,0
"ACSF3",4,4,3,20,6,4,5,0,1,2,0,0,0,0
"ACSL1",31,9,55,730,271,25,15,88,68,26,1,8,0,0
"ACSL3",16,40,48,238,55,47,29,6,7,4,2,35,2,0
"ACSL4",20,24,5,33,10,21,26,1,0,7,6,26,1,0
"ACSL5",3,1,1,0,0,19,36,0,0,1,2,0,0,0
"ACSL6",0,0,8,13,17,0,0,1,5,0,0,0,0,0
"ACSM1",0,0,3,3,0,2,0,0,1,0,0,0,0,0
"ACSM2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM3",11,0,4,11,0,5,0,0,2,0,0,0,0,0
"ACSM5",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ACSM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSS1",22,4,3,3,4,17,26,0,1,2,1,2,0,0
"ACSS2",15,10,29,68,17,48,16,0,6,2,1,8,0,0
"ACSS3",7,7,0,0,0,4,0,0,0,0,0,2,0,0
"ACTA1",2,0,201,7,48,2,1,3,0,0,0,0,0,0
"ACTA2",2,98,5,21,1,4,12,0,0,0,0,24,1,0
"ACTB",2723,1293,3073,6241,1931,5586,1368,61,420,366,119,530,24,11
"ACTBL2",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ACTC1",0,0,6,42,13,0,0,4,3,0,0,0,0,0
"ACTG1",10920,1062,2874,7168,2961,4846,1175,101,637,118,30,306,12,4
"ACTG1P17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG2",1,1,0,1,0,0,0,0,0,0,0,0,0,0
"ACTL10",5,1,3,10,1,2,2,0,0,0,0,0,0,0
"ACTL6A",36,22,41,145,48,44,40,0,16,5,0,26,0,0
"ACTL6B",0,0,21,62,23,0,1,0,10,1,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN1",261,338,257,547,267,384,66,18,58,16,1,123,1,0
"ACTN2",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN4",521,45,449,1227,254,1035,205,12,89,12,9,44,4,3
"ACTR10",50,64,147,604,124,65,65,10,22,2,1,36,4,1
"ACTR1A",86,73,184,429,100,93,82,9,34,8,4,55,5,2
"ACTR1B",67,17,88,256,75,64,21,3,27,1,1,25,1,0
"ACTR2",77,89,239,665,176,134,119,7,37,32,5,61,2,1
"ACTR3",119,75,185,479,143,186,89,6,32,24,5,49,1,2
"ACTR3B",10,1,22,203,25,6,6,0,9,2,0,4,0,0
"ACTR3C",11,0,5,28,15,8,2,0,2,0,0,0,0,0
"ACTR5",3,1,7,17,3,7,2,0,3,0,0,3,0,0
"ACTR6",6,9,20,76,18,5,20,0,11,0,0,9,0,0
"ACTR8",11,10,20,71,9,14,4,0,9,0,0,2,0,0
"ACTRT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,4,5,2,2,0,0,2,0,0,0,0,0
"ACVR1",19,44,45,265,71,30,27,7,11,3,1,41,2,0
"ACVR1B",21,8,4,238,56,46,16,1,12,3,0,7,0,0
"ACVR1C",0,0,35,120,3,3,2,0,7,0,0,0,0,0
"ACVR2A",2,0,6,40,9,5,1,0,1,0,0,3,0,0
"ACVR2B",13,3,13,26,10,3,3,0,6,0,0,0,0,0
"ACVRL1",0,8,1,3,1,5,430,1,0,5,0,9,0,0
"ACY1",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ACY3",8,0,0,0,0,3,0,0,0,0,0,0,0,0
"ACYP1",9,1,56,170,39,18,7,0,10,1,0,3,0,0
"ACYP2",13,11,32,129,34,13,6,2,6,2,0,5,2,0
"ADA",7,13,0,1,0,3,21,0,0,5,0,2,0,1
"ADAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAD2",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ADAL",4,3,11,63,9,4,1,0,0,0,0,0,0,0
"ADAM10",9,28,50,134,39,70,58,0,12,8,0,18,5,0
"ADAM11",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM12",0,25,0,1,0,12,0,0,0,0,9,0,0,0
"ADAM15",24,8,42,99,25,62,47,4,8,5,2,4,0,0
"ADAM17",14,12,23,134,27,43,31,0,6,7,0,6,1,0
"ADAM18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM19",0,15,0,0,0,0,17,0,0,4,0,4,0,0
"ADAM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ADAM20P1",0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ADAM22",0,0,15,34,4,0,1,0,2,0,0,0,0,0
"ADAM23",0,4,0,9,1,0,0,0,3,0,0,0,0,0
"ADAM28",0,0,0,0,0,5,1,0,0,5,0,0,0,0
"ADAM29",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM32",0,0,4,1,1,1,0,0,0,0,0,1,0,0
"ADAM33",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM8",1,0,1,2,3,12,0,0,0,2,0,0,0,2
"ADAM9",70,24,57,79,39,176,11,0,5,9,0,33,1,0
"ADAMDEC1",0,14,0,0,0,0,0,0,0,27,0,0,0,0
"ADAMTS1",51,20,6,0,8,45,73,0,0,0,0,218,3,0
"ADAMTS10",0,3,0,0,0,11,1,0,0,0,0,3,0,0
"ADAMTS12",0,211,1,9,1,0,2,0,0,0,0,58,0,0
"ADAMTS13",1,0,1,7,4,1,0,1,0,0,0,0,0,0
"ADAMTS14",0,14,0,0,0,0,0,0,0,0,1,1,0,0
"ADAMTS15",0,4,1,0,0,0,0,0,0,0,0,1,0,0
"ADAMTS16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS17",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"ADAMTS18",0,0,9,0,0,0,0,2,0,0,0,0,0,0
"ADAMTS19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS2",0,54,3,29,2,0,1,0,1,0,0,17,0,0
"ADAMTS20",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS3",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS4",0,60,4,8,0,0,274,0,0,0,0,449,3,0
"ADAMTS5",0,7,0,106,3,0,34,0,0,1,0,9,0,0
"ADAMTS6",0,4,3,1,1,1,0,1,1,0,0,0,0,0
"ADAMTS7",2,5,0,0,0,1,35,0,0,0,8,3,0,0
"ADAMTS8",0,0,0,2,0,1,0,0,0,0,0,0,1,0
"ADAMTS9",1,7,2,2,0,82,79,0,0,0,0,87,0,0
"ADAMTSL1",0,0,0,19,17,0,0,1,6,0,0,1,0,0
"ADAMTSL2",2,15,20,82,51,0,7,1,12,0,0,6,0,0
"ADAMTSL3",5,3,0,0,0,1,0,3,0,0,0,0,0,0
"ADAMTSL4",1,1,1,5,0,3,0,0,0,5,0,1,0,0
"ADAMTSL5",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ADAP1",9,2,0,3,3,21,1,0,2,2,1,0,0,0
"ADAP2",2,0,7,65,1,0,2,0,2,15,0,22,0,0
"ADAR",52,25,144,464,102,67,60,11,36,18,3,39,4,0
"ADARB1",5,5,4,10,5,0,16,0,1,0,0,1,0,0
"ADARB2",0,0,1,3,0,0,0,0,0,0,0,0,0,0
"ADAT1",0,0,0,3,0,2,0,0,0,0,0,0,0,0
"ADAT2",1,1,1,11,0,2,1,0,2,1,0,0,0,0
"ADAT3",15,6,7,31,6,13,4,1,0,1,0,7,0,0
"ADCK1",6,3,25,43,8,5,10,0,3,1,0,1,0,0
"ADCK2",13,7,39,163,41,20,5,3,14,2,2,6,0,0
"ADCK3",38,1,23,91,15,7,9,2,12,0,0,5,0,0
"ADCK4",10,5,31,79,20,6,6,1,4,0,0,4,2,0
"ADCK5",4,4,6,25,0,2,1,0,1,0,0,1,0,0
"ADCY1",0,0,45,45,0,0,3,0,2,0,0,0,0,0
"ADCY10",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ADCY10P1",0,0,0,13,7,0,2,0,0,0,0,0,0,0
"ADCY2",0,0,78,2,19,2,0,0,0,0,0,0,0,0
"ADCY3",2,83,3,12,6,4,10,0,0,5,0,360,1,0
"ADCY4",0,1,1,0,0,0,9,1,1,0,1,2,0,0
"ADCY5",0,0,1,0,11,8,0,1,0,0,0,3,0,0
"ADCY6",10,11,45,72,25,21,17,3,10,0,0,24,0,1
"ADCY7",2,0,30,20,2,4,2,0,0,3,3,1,0,0
"ADCY8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADCY9",8,15,24,54,7,20,11,1,4,1,0,10,4,0
"ADCYAP1",14,0,10,2132,6,8,12,0,5,7,0,6,0,0
"ADCYAP1R1",0,4,1,0,0,0,0,0,0,0,0,0,0,0
"ADD1",62,43,128,337,90,96,59,4,37,3,1,35,3,0
"ADD2",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADD3",71,32,30,102,37,59,75,6,16,3,0,21,1,0
"ADGB",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ADGRA1",0,1,1,40,17,0,1,1,3,0,0,0,0,0
"ADGRA2",0,59,25,15,7,3,19,1,0,0,0,42,0,0
"ADGRA3",15,7,9,27,7,36,0,0,2,0,0,5,0,0
"ADGRB1",0,1,0,1,1,0,0,0,0,0,0,0,0,0
"ADGRB2",1,3,0,2,0,0,0,0,0,0,0,0,0,0
"ADGRB3",0,0,0,0,3,0,1,0,0,0,0,5,0,0
"ADGRD1",1,0,0,3,1,1,0,0,0,0,0,2,0,0
"ADGRD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRE2",0,3,0,0,0,0,0,0,0,1,4,2,0,0
"ADGRE3",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ADGRE4P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRE5",23,3,0,2,0,27,4,0,0,3,1,18,0,0
"ADGRF1",0,0,0,0,1,80,0,0,0,0,0,0,0,0
"ADGRF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRF3",0,1,2,6,0,0,0,0,2,0,0,0,0,0
"ADGRF4",0,0,0,1,0,5,0,0,0,0,0,0,0,0
"ADGRF5",0,22,2,2,0,1,227,0,1,0,0,48,0,0
"ADGRF5P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRG1",39,5,122,795,56,19,34,3,35,2,0,5,0,0
"ADGRG2",1,3,51,5,11,0,1,1,11,0,0,0,0,0
"ADGRG3",0,0,0,39,0,0,0,0,0,0,0,0,0,0
"ADGRG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRG5",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ADGRG6",0,0,0,0,0,35,1,1,0,0,0,0,4,0
"ADGRG7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRL1",12,9,50,192,50,17,11,3,21,0,3,4,1,1
"ADGRL2",7,11,12,3,96,14,85,0,16,0,0,8,1,0
"ADGRL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRL4",0,0,0,0,0,0,210,0,0,0,0,1,0,0
"ADGRV1",0,0,5,28,14,3,0,1,8,0,0,0,0,0
"ADH1A",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"ADH1B",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"ADH1C",7,0,0,1,0,32,0,0,0,0,0,2,0,0
"ADH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADH5",27,32,22,164,22,13,24,4,5,3,0,24,1,0
"ADH6",0,0,0,3,3,1,0,0,0,0,0,0,0,0
"ADH7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADHFE1",0,0,2,7,1,0,1,0,0,0,0,1,0,0
"ADI1",30,34,28,69,20,65,15,0,7,6,1,38,2,0
"ADIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADIPOQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADIPOR1",81,53,216,865,174,93,77,7,54,20,8,42,3,0
"ADIPOR2",53,21,59,230,53,63,22,1,15,7,3,30,1,1
"ADIRF",44,20,2,1,10,72,23,0,0,0,0,376,0,0
"ADK",28,28,75,239,58,39,9,0,14,2,0,6,2,0
"ADM",34,2,33,232,13,70,45,2,7,19,0,5,0,0
"ADM2",2,0,0,1,0,1,0,0,0,0,0,0,0,0
"ADM5",0,0,2,2,0,0,0,0,0,0,0,0,0,0
"ADNP",19,19,50,199,43,62,26,0,11,4,3,20,0,0
"ADNP2",7,6,24,89,14,16,6,0,13,1,0,10,1,0
"ADO",2,19,25,108,24,38,23,2,3,1,1,21,1,0
"ADORA1",0,4,0,0,0,16,0,0,0,0,0,0,0,0
"ADORA2A",0,0,1,0,0,0,1,0,0,0,0,1,0,0
"ADORA2B",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ADORA3",0,0,0,0,0,0,0,0,0,18,5,0,0,0
"ADPGK",15,23,17,105,24,25,17,3,7,23,3,12,0,0
"ADPRH",3,5,13,16,0,0,11,0,1,3,1,6,1,0
"ADPRHL1",6,0,4,22,4,7,0,1,4,0,0,0,0,0
"ADPRHL2",23,9,64,182,25,38,13,0,11,2,0,13,2,0
"ADPRM",7,2,10,32,10,6,2,2,1,0,0,0,0,0
"ADRA1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADRA1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADRA1D",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ADRA2A",0,2,0,76,2,0,3,0,0,0,0,2,0,0
